Timestamp,x,y,r,g,b
0,40.464,54.106857,255.0,0.0,0.0
30,43.194668,52.058857,255.0,0.0,0.0
60,45.925335,50.010857,255.0,0.0,0.0
90,48.656,47.962856,255.0,0.0,0.0
120,51.386665,45.914856,255.0,0.0,0.0
150,54.117332,43.866856,255.0,0.0,0.0
180,56.848,41.818855,255.0,0.0,0.0
210,59.578667,39.77086,255.0,0.0,0.0
240,62.309334,37.72286,255.0,0.0,0.0
270,65.04,35.67486,255.0,0.0,0.0
300,67.77067,33.626858,255.0,0.0,0.0
330,70.501335,31.578857,255.0,0.0,0.0
360,73.232,29.530857,255.0,0.0,0.0
390,75.96267,27.482857,255.0,0.0,0.0
420,78.69334,25.434856,255.0,0.0,0.0
450,81.424,23.386858,255.0,0.0,0.0
480,84.15466,21.338858,255.0,0.0,0.0
510,86.88533,19.290857,255.0,0.0,0.0
540,89.616,17.242857,255.0,0.0,0.0
570,92.346664,15.194858,255.0,0.0,0.0
600,95.07733,13.146857,255.0,0.0,0.0
630,97.808,11.098857,127.0,127.0,127.0
660,100.538666,9.050858,127.0,127.0,127.0
690,103.26933,11.098857,127.0,127.0,127.0
720,106.0,13.146857,127.0,127.0,127.0
750,108.73067,15.194858,127.0,127.0,127.0
780,111.461334,17.242857,127.0,127.0,127.0
810,114.192,19.290857,127.0,127.0,127.0
840,116.92267,21.338858,127.0,127.0,127.0
870,119.653336,23.386858,127.0,127.0,127.0
900,122.384,25.434856,127.0,127.0,127.0
930,125.11467,27.482857,127.0,127.0,127.0
960,127.84534,29.530857,127.0,127.0,127.0
990,130.576,31.578857,127.0,127.0,127.0
1020,133.30667,33.626858,127.0,127.0,127.0
1050,136.03734,35.67486,127.0,127.0,127.0
1080,138.768,37.72286,127.0,127.0,127.0
1110,141.49867,39.77086,127.0,127.0,127.0
1140,144.22934,41.818855,127.0,127.0,127.0
1170,146.96,43.866856,127.0,127.0,127.0
1200,149.69067,45.914856,127.0,127.0,127.0
1230,152.42134,47.962856,127.0,127.0,127.0
1260,155.152,50.010857,127.0,127.0,127.0
1290,157.88266,52.058857,127.0,127.0,127.0
1320,160.61333,54.106857,255.0,0.0,0.0
1350,163.344,56.154858,255.0,0.0,0.0
1380,166.07466,58.202858,255.0,0.0,0.0
1410,168.80533,60.25086,255.0,0.0,0.0
1440,171.536,62.29886,255.0,0.0,0.0
1470,174.26666,64.346855,255.0,0.0,0.0
1500,176.99733,66.39486,255.0,0.0,0.0
1530,179.728,68.442856,255.0,0.0,0.0
1560,182.45866,70.49086,255.0,0.0,0.0
1590,185.18933,72.53886,255.0,0.0,0.0
1620,187.92,74.58686,255.0,0.0,0.0
1650,190.65067,76.63486,255.0,0.0,0.0
1680,193.38133,78.68285,255.0,0.0,0.0
1710,196.112,80.73086,255.0,0.0,0.0
1740,198.84267,82.778854,255.0,0.0,0.0
1770,201.57333,84.82686,255.0,0.0,0.0
1800,204.304,86.874855,255.0,0.0,0.0
1830,207.03467,88.92286,255.0,0.0,0.0
1860,209.76534,90.970856,255.0,0.0,0.0
1890,212.496,93.01886,255.0,0.0,0.0
1920,215.22667,95.06686,255.0,0.0,0.0
1950,217.95734,97.11486,255.0,0.0,0.0
1980,220.688,99.16286,255.0,0.0,0.0
2010,223.41867,101.21085,255.0,0.0,0.0
2040,226.14934,103.25886,255.0,0.0,0.0
2070,228.88,105.306854,255.0,0.0,0.0
2100,231.61067,107.35486,255.0,0.0,0.0
2130,234.34134,109.402855,255.0,0.0,0.0
2160,237.072,111.45086,255.0,0.0,0.0
2190,239.80267,113.498856,255.0,0.0,0.0
2220,242.53334,115.54686,255.0,0.0,0.0
2250,245.264,117.59486,255.0,0.0,0.0
2280,247.99466,119.64286,255.0,0.0,0.0
2310,245.264,121.69086,255.0,0.0,0.0
2340,242.53334,123.73885,255.0,0.0,0.0
2370,239.80267,125.78686,255.0,0.0,0.0
2400,237.072,127.834854,255.0,0.0,0.0
2430,234.34134,129.88286,255.0,0.0,0.0
2460,231.61067,131.93086,255.0,0.0,0.0
2490,228.88,133.97885,255.0,0.0,0.0
2520,226.14934,136.02686,255.0,0.0,0.0
2550,223.41867,138.07486,255.0,0.0,0.0
2580,220.688,140.12286,255.0,0.0,0.0
2610,217.95734,142.17085,255.0,0.0,0.0
2640,215.22667,144.21886,255.0,0.0,0.0
2670,212.496,146.26686,255.0,0.0,0.0
2700,209.76534,148.31485,255.0,0.0,0.0
2730,207.03467,150.36285,255.0,0.0,0.0
2760,204.304,152.41086,255.0,0.0,0.0
2790,201.57333,154.45886,255.0,0.0,0.0
2820,198.84267,156.50685,255.0,0.0,0.0
2850,196.112,158.55486,255.0,0.0,0.0
2880,193.38133,160.60286,255.0,0.0,0.0
2910,190.65067,162.65086,255.0,0.0,0.0
2940,187.92,164.69885,255.0,0.0,0.0
2970,185.18933,166.74686,255.0,0.0,0.0
3000,182.45866,168.79486,255.0,0.0,0.0
3030,179.728,170.84285,255.0,0.0,0.0
3060,176.99733,172.89085,255.0,0.0,0.0
3090,174.26666,174.93886,255.0,0.0,0.0
3120,171.536,176.98686,255.0,0.0,0.0
3150,168.80533,179.03485,255.0,0.0,0.0
3180,166.07466,181.08286,255.0,0.0,0.0
3210,163.344,183.13086,255.0,0.0,0.0
3240,160.61333,185.17886,255.0,0.0,0.0
3270,157.88266,187.22685,127.0,127.0,127.0
3300,155.152,189.27486,127.0,127.0,127.0
3330,152.42134,191.32286,127.0,127.0,127.0
3360,149.69067,193.37085,127.0,127.0,127.0
3390,146.96,195.41885,127.0,127.0,127.0
3420,144.22934,197.46686,127.0,127.0,127.0
3450,141.49867,199.51486,127.0,127.0,127.0
3480,138.768,201.56285,127.0,127.0,127.0
3510,136.03734,203.61086,127.0,127.0,127.0
3540,133.30667,205.65886,127.0,127.0,127.0
3570,130.576,207.70686,127.0,127.0,127.0
3600,127.84534,209.75485,127.0,127.0,127.0
3630,125.11467,211.80286,127.0,127.0,127.0
3660,122.384,213.85086,127.0,127.0,127.0
3690,119.653336,215.89886,127.0,127.0,127.0
3720,116.92267,217.94685,127.0,127.0,127.0
3750,114.192,219.99486,127.0,127.0,127.0
3780,111.461334,222.04286,127.0,127.0,127.0
3810,108.73067,224.09085,127.0,127.0,127.0
3840,106.0,226.13885,127.0,127.0,127.0
3870,103.26933,228.18686,127.0,127.0,127.0
3900,100.538666,230.23486,127.0,127.0,127.0
3930,97.808,232.28285,127.0,127.0,127.0
3960,95.07733,234.33086,255.0,0.0,0.0
3990,92.346664,236.37886,255.0,0.0,0.0
4020,89.616,238.42686,255.0,0.0,0.0
4050,86.88533,240.47485,255.0,0.0,0.0
4080,84.15466,242.52286,255.0,0.0,0.0
4110,81.424,244.57086,255.0,0.0,0.0
4140,78.69334,246.61885,255.0,0.0,0.0
4170,75.96267,244.57086,255.0,0.0,0.0
4200,73.232,242.52286,255.0,0.0,0.0
4230,70.501335,240.47485,255.0,0.0,0.0
4260,67.77067,238.42686,255.0,0.0,0.0
4290,65.04,236.37886,255.0,0.0,0.0
4320,62.309334,234.33086,255.0,0.0,0.0
4350,59.578667,232.28285,255.0,0.0,0.0
4380,56.848,230.23486,255.0,0.0,0.0
4410,54.117332,228.18686,255.0,0.0,0.0
4440,51.386665,226.13885,255.0,0.0,0.0
4470,48.656,224.09085,255.0,0.0,0.0
4500,45.925335,222.04286,255.0,0.0,0.0
4530,43.194668,219.99486,255.0,0.0,0.0
4560,40.464,217.94685,255.0,0.0,0.0
4590,37.733334,215.89886,255.0,0.0,0.0
4620,35.002666,213.85086,255.0,0.0,0.0
4650,32.272,211.80286,255.0,0.0,0.0
4680,29.541334,209.75485,255.0,0.0,0.0
4710,26.810667,207.70686,255.0,0.0,0.0
4740,24.08,205.65886,255.0,0.0,0.0
4770,21.349333,203.61086,255.0,0.0,0.0
4800,18.618668,201.56285,255.0,0.0,0.0
4830,15.8880005,199.51486,255.0,0.0,0.0
4860,13.157333,197.46686,255.0,0.0,0.0
4890,10.426666,195.41885,255.0,0.0,0.0
4920,7.696,193.37085,255.0,0.0,0.0
4950,10.426666,191.32286,255.0,0.0,0.0
4980,13.157333,189.27486,255.0,0.0,0.0
5010,15.8880005,187.22685,255.0,0.0,0.0
5040,18.618668,185.17886,255.0,0.0,0.0
5070,21.349333,183.13086,255.0,0.0,0.0
5100,24.08,181.08286,255.0,0.0,0.0
5130,26.810667,179.03485,255.0,0.0,0.0
5160,29.541334,176.98686,255.0,0.0,0.0
5190,32.272,174.93886,255.0,0.0,0.0
5220,35.002666,172.89085,255.0,0.0,0.0
5250,37.733334,170.84285,255.0,0.0,0.0
5280,40.464,168.79486,255.0,0.0,0.0
5310,43.194668,166.74686,255.0,0.0,0.0
5340,45.925335,164.69885,255.0,0.0,0.0
5370,48.656,162.65086,255.0,0.0,0.0
5400,51.386665,160.60286,255.0,0.0,0.0
5430,54.117332,158.55486,255.0,0.0,0.0
5460,56.848,156.50685,255.0,0.0,0.0
5490,59.578667,154.45886,255.0,0.0,0.0
5520,62.309334,152.41086,255.0,0.0,0.0
5550,65.04,150.36285,255.0,0.0,0.0
5580,67.77067,148.31485,255.0,0.0,0.0
5610,70.501335,146.26686,255.0,0.0,0.0
5640,73.232,144.21886,0.0,255.0,0.0
