Video ID,idx_trial,trial,length,Final Color,Final X Position,Final Y Position,Final X Velocity,Final Y Velocity,PCCNVC,PCCOVC,PVC,length_ms,idx_time,side_left_right,side_top_bottom,idx_velocity_y,idx_position,idx_x_position,bounce_x_y,idx_pos_y_bounce,idx_y_position,last_visible_color_idx,last_visible_color,color_entered,color_next,color_after_next,correct_response,Dataset Block,Dataset Block Video,Bounces,Random Bounces,Color Change Bounce,Color Change Random,PCCNVC_effective,PCCOVC_effective,PVC_effective,Bounces observable,Random Bounces observable,Color Change Bounce observable,Color Change Random observable,PCCNVC_effective_observable,PCCOVC_effective_observable,PVC_effective_observable,Hazard Rate,Contingency,cwl
174,24,Nonwall,204,green,110.44,125.542854,26.880000000000003,28.8,0.015,0.125,0.075,10200,-1,0.0,1.0,1,-1,0.0,0.0,1.0,10.0,197,1,1,2,3,2,8,4,4,5,4,2,0.010256410256410256,0.4444444444444444,0.025,1,2,2,1,0.03571428571428571,0.6666666666666666,0.06666666666666667,Low,Low,0.4502656
175,25,Nonwall,305,blue,110.44,166.0,26.880000000000003,24.96,0.05,0.5,0.075,15250,-1,0.0,1.0,0,-1,0.0,0.0,7.0,22.0,298,3,3,1,2,3,1,17,5,9,12,6,0.020618556701030927,0.8571428571428571,0.03,1,3,3,2,0.02197802197802198,0.75,0.031914893617021274,High,Medium,-0.13112283
176,26,Nonwall,241,red,145.56,137.2,-26.880000000000003,-28.8,0.05,0.875,0.075,12050,-1,1.0,0.0,1,-1,1.0,0.0,7.0,14.0,234,3,3,1,2,1,9,8,4,4,7,6,0.02575107296137339,0.875,0.016877637130801686,2,0,2,1,0.018867924528301886,1.0,0.0,High,High,0.7654457
177,27,Nonwall,192,red,110.44,130.45714,26.880000000000003,-28.8,0.015,0.125,0.075,9600,-1,0.0,0.0,1,-1,0.0,0.0,6.0,12.0,185,1,1,2,3,1,5,8,4,3,1,1,0.005405405405405406,0.14285714285714285,0.015957446808510637,1,2,0,0,0.0,0.0,0.028985507246376812,Low,Low,-0.8297805
178,28,Nonwall,245,blue,145.56,141.04,-26.880000000000003,-24.96,0.015,0.5,0.075,12250,-1,1.0,0.0,0,-1,1.0,0.0,7.0,16.0,238,2,2,3,1,3,10,10,5,5,3,0,0.0,0.3,0.020833333333333332,1,3,2,0,0.0,0.5,0.0379746835443038,Low,Medium,0.3
179,29,Nonwall,268,green,145.56,151.41714,-26.880000000000003,24.96,0.05,0.875,0.075,13400,-1,1.0,1.0,0,-1,1.0,0.0,5.0,18.0,261,1,1,2,3,2,7,19,5,8,13,6,0.023529411764705882,1.0,0.030418250950570342,2,4,6,2,0.024096385542168676,1.0,0.04597701149425287,High,High,0.8671146
180,30,Nonwall,265,blue,145.56,118.8,-26.880000000000003,28.8,0.05,0.125,0.075,13250,-1,1.0,1.0,1,-1,1.0,0.0,0.0,6.0,258,3,3,1,2,3,6,10,6,3,0,7,0.02734375,0.0,0.011583011583011582,1,2,0,3,0.04477611940298507,0.0,0.028985507246376812,High,Low,-0.8471284
181,31,Nonwall,400,red,145.56,158.70857,-26.880000000000003,24.96,0.015,0.5,0.075,20000,-1,1.0,1.0,0,-1,1.0,0.0,6.0,20.0,393,2,2,3,1,1,2,16,7,5,5,4,0.010309278350515464,0.4166666666666667,0.01272264631043257,1,1,1,2,0.019801980198019802,0.5,0.00980392156862745,Low,Medium,0.025364062
182,32,Nonwall,195,green,110.44,133.74857,26.880000000000003,-24.96,0.015,0.875,0.075,9750,-1,0.0,0.0,0,-1,0.0,0.0,6.0,13.0,188,1,1,2,3,2,2,18,4,4,8,0,0.0,1.0,0.020942408376963352,1,2,3,0,0.0,1.0,0.043478260869565216,Low,High,1.0
183,33,Nonwall,156,blue,145.56,103.48572,-26.880000000000003,-28.8,0.05,0.125,0.075,7800,-1,1.0,0.0,1,-1,1.0,0.0,2.0,2.0,149,2,2,3,1,3,4,4,2,6,0,4,0.02702702702702703,0.0,0.03896103896103896,1,3,0,1,0.02631578947368421,0.0,0.07317073170731707,High,Low,0.14140888
184,34,Nonwall,395,green,110.44,144.12572,26.880000000000003,24.96,0.05,0.5,0.075,19750,-1,0.0,1.0,0,-1,0.0,0.0,4.0,17.0,388,2,2,3,1,2,6,3,6,12,6,8,0.021220159151193633,0.3333333333333333,0.030848329048843187,1,7,4,0,0.0,0.5,0.06422018348623854,High,Medium,-0.58834946
185,35,Nonwall,283,red,110.44,96.74286,26.880000000000003,-28.8,0.015,0.875,0.075,14150,-1,0.0,0.0,1,-1,0.0,0.0,1.0,1.0,276,1,1,2,3,1,8,2,5,6,9,0,0.0,0.8181818181818182,0.02158273381294964,1,1,1,0,0.0,0.5,0.011363636363636364,Low,High,-0.18181819
186,36,Nonwall,193,red,110.44,90.0,26.880000000000003,-28.8,0.015,0.125,0.075,9650,-1,0.0,0.0,1,-1,0.0,0.0,0.0,0.0,186,1,1,2,3,1,6,4,5,1,0,1,0.0053475935828877,0.0,0.005319148936170213,1,1,0,1,0.019230769230769232,0.0,0.018867924528301886,Low,Low,-0.9683434
187,37,Nonwall,171,blue,145.56,122.25143,-26.880000000000003,24.96,0.05,0.5,0.075,8550,-1,1.0,1.0,0,-1,1.0,0.0,1.0,8.0,164,2,2,3,1,3,1,11,4,2,4,5,0.030303030303030304,0.6666666666666666,0.011976047904191617,1,1,2,1,0.024390243902439025,1.0,0.023809523809523808,High,Medium,0.60658014
188,38,Nonwall,303,green,110.44,104.582855,26.880000000000003,-24.96,0.05,0.875,0.075,15150,-1,0.0,0.0,0,-1,0.0,0.0,2.0,3.0,296,1,1,2,3,2,10,8,5,7,10,10,0.03436426116838488,0.8333333333333334,0.02348993288590604,2,3,3,4,0.043478260869565216,0.6,0.031578947368421054,High,High,0.7050782
189,39,Nonwall,228,blue,110.44,118.8,26.880000000000003,28.8,0.015,0.125,0.075,11400,-1,0.0,1.0,1,-1,0.0,0.0,0.0,6.0,221,3,3,1,2,3,3,19,5,5,1,7,0.03211009174311927,0.1,0.02242152466367713,1,2,0,4,0.06451612903225806,0.0,0.03125,Low,Low,-0.7418407
190,40,Nonwall,166,red,145.56,144.12572,-26.880000000000003,24.96,0.015,0.5,0.075,8300,-1,1.0,1.0,0,-1,1.0,0.0,4.0,17.0,159,3,3,1,2,1,4,11,4,3,4,1,0.006289308176100629,0.5714285714285714,0.018518518518518517,1,1,2,1,0.029411764705882353,1.0,0.02857142857142857,Low,Medium,0.5658746
191,41,Nonwall,241,green,145.56,123.71429,-26.880000000000003,-28.8,0.05,0.875,0.075,12050,-1,1.0,0.0,1,-1,1.0,0.0,5.0,9.0,234,1,1,2,3,2,9,10,5,5,9,3,0.012987012987012988,0.9,0.0211864406779661,1,3,4,0,0.0,1.0,0.04477611940298507,High,High,0.8394452
