Video ID,idx_trial,trial,length,Final Color,Final X Position,Final Y Position,Final X Velocity,Final Y Velocity,PCCNVC,PCCOVC,PVC,length_ms,idx_time,side_left_right,side_top_bottom,idx_velocity_y,idx_position,idx_x_position,bounce_x_y,idx_pos_y_bounce,idx_y_position,last_visible_color_idx,last_visible_color,color_entered,color_next,color_after_next,correct_response,Dataset Block,Dataset Block Video,Bounces,Random Bounces,Color Change Bounce,Color Change Random,PCCNVC_effective,PCCOVC_effective,PVC_effective,Bounces observable,Random Bounces observable,Color Change Bounce observable,Color Change Random observable,PCCNVC_effective_observable,PCCOVC_effective_observable,PVC_effective_observable,Hazard Rate,Contingency,cwl
74,63,Straight,239,green,159.0,29.94898,-26.880000000000003,-24.96,0.00875,0.1,0.09825,11950,0,1.0,0.0,0,-1,,,,,237,2,2,3,1,2,2,2,2,4,1,2,0.008583690987124463,0.16666666666666666,0.016877637130801686,0,1,0,1,0.011235955056179775,0.0,0.011111111111111112,Low,Low,-0.9829063
75,64,Straight,440,blue,128.0,62.183674,26.880000000000003,-24.96,0.00875,0.5,0.09825,22000,1,0.0,0.0,0,-1,,,,,427,3,3,1,2,3,10,15,8,6,7,0,0.0,0.5,0.013888888888888888,2,3,3,0,0.0,0.6,0.013574660633484163,Low,Medium,-1.0
76,65,Straight,158,red,97.0,148.29591,-26.880000000000003,28.8,0.065,0.9,0.09825,7900,2,1.0,1.0,1,-1,,,,,133,3,3,1,2,1,8,4,2,3,3,3,0.0196078431372549,0.6,0.019230769230769232,2,1,3,2,0.01904761904761905,1.0,0.009433962264150943,High,High,0.3059995
77,66,Straight,208,blue,97.0,236.0,-26.880000000000003,24.96,0.065,0.1,0.09825,10400,2,1.0,1.0,0,-1,,,,,183,2,2,3,1,3,9,2,2,5,0,8,0.03980099502487562,0.0,0.024271844660194174,0,4,0,3,0.029411764705882353,0.0,0.03773584905660377,High,Low,0.38897362
78,67,Straight,181,red,97.0,37.540817,26.880000000000003,-28.8,0.00875,0.5,0.09825,9050,0,0.0,0.0,1,-1,,,,,179,1,1,2,3,1,2,7,4,0,2,2,0.011299435028248588,0.5,0.0,2,0,1,1,0.012987012987012988,0.5,0.0,Low,Medium,-0.9775288
79,68,Straight,237,green,128.0,184.81633,26.880000000000003,28.8,0.00875,0.9,0.09825,11850,1,0.0,1.0,1,-1,,,,,224,2,2,3,1,2,4,5,6,2,7,0,0.0,0.875,0.008658008658008658,2,0,2,0,0.0,1.0,0.0,Low,High,-1.0
80,69,Straight,221,green,97.0,199.65306,26.880000000000003,24.96,0.065,0.1,0.09825,11050,0,0.0,1.0,0,-1,,,,,219,2,2,3,1,2,5,4,5,1,0,6,0.027906976744186046,0.0,0.004629629629629629,1,1,0,1,0.015151515151515152,0.0,0.014925373134328358,High,Low,-0.9449648
81,70,Straight,211,red,128.0,20.0,-26.880000000000003,-28.8,0.065,0.5,0.09825,10550,1,1.0,0.0,1,-1,,,,,198,1,1,2,3,1,10,1,4,1,2,6,0.02912621359223301,0.4,0.004830917874396135,2,0,0,3,0.03125,0.0,0.0,High,Medium,-0.6862105
82,71,Straight,357,blue,97.0,147.21428,-26.880000000000003,-24.96,0.00875,0.9,0.09825,17850,2,1.0,0.0,0,-1,,,,,332,3,3,1,2,3,1,6,6,7,10,2,0.005813953488372093,0.7692307692307693,0.019943019943019943,2,3,2,1,0.0056179775280898875,0.4,0.016574585635359115,Low,High,-0.86475146
83,72,Straight,182,green,97.0,90.16327,26.880000000000003,-28.8,0.00875,0.1,0.09825,9100,0,0.0,0.0,1,-1,,,,,180,2,2,3,1,2,9,1,4,1,0,2,0.011299435028248588,0.0,0.0056179775280898875,1,0,0,1,0.012048192771084338,0.0,0.0,Low,Low,-0.9775288
84,73,Straight,256,red,128.0,146.42857,26.880000000000003,28.8,0.065,0.5,0.09825,12800,1,0.0,1.0,1,-1,,,,,243,3,3,1,2,1,10,7,4,6,4,6,0.024390243902439025,0.4,0.023809523809523808,1,2,1,3,0.02830188679245283,0.3333333333333333,0.018518518518518517,High,Medium,0.23596424
85,74,Straight,163,blue,97.0,125.244896,-26.880000000000003,-28.8,0.065,0.9,0.09825,8150,2,1.0,0.0,1,-1,,,,,138,2,2,3,1,3,10,2,3,2,4,4,0.02531645569620253,0.8,0.0125,1,1,2,2,0.023809523809523808,1.0,0.011764705882352941,High,High,0.34506944
86,75,Straight,392,blue,97.0,145.13266,-26.880000000000003,24.96,0.00875,0.1,0.09825,19600,2,1.0,1.0,0,-1,,,,,367,3,3,1,2,3,2,10,5,9,1,2,0.005291005291005291,0.07142857142857142,0.023255813953488372,3,2,0,2,0.009433962264150943,0.0,0.009345794392523364,Low,Low,-0.8760955
87,0,Bounce,348,green,110.44,232.1,26.880000000000003,-28.8,0.00875,0.1,0.09825,17400,-1,0.0,1.0,1,-1,0.0,,,,341,2,2,3,1,2,8,14,7,4,1,4,0.011869436201780416,0.09090909090909091,0.011730205278592375,2,3,0,1,0.007194244604316547,0.0,0.02112676056338028,Low,Low,-0.84645206
88,1,Bounce,186,blue,145.56,21.98,-26.880000000000003,24.96,0.065,0.5,0.09825,9300,-1,1.0,0.0,0,-1,1.0,,,,179,2,2,3,1,3,10,12,4,1,1,2,0.011049723756906077,0.2,0.005494505494505495,2,1,1,1,0.012345679012345678,0.3333333333333333,0.012195121951219513,High,Medium,0.23727907
89,2,Bounce,170,red,145.56,234.02,-26.880000000000003,-24.96,0.065,0.9,0.09825,8500,-1,1.0,1.0,0,-1,1.0,,,,163,3,3,1,2,1,1,7,5,2,7,2,0.012269938650306749,1.0,0.012121212121212121,3,1,4,1,0.015625,1.0,0.015384615384615385,High,High,0.9286376
90,3,Bounce,261,blue,110.44,232.1,26.880000000000003,-28.8,0.00875,0.1,0.09825,13050,-1,0.0,1.0,1,-1,0.0,,,,254,3,3,1,2,3,4,10,6,6,1,2,0.008032128514056224,0.08333333333333333,0.023529411764705882,1,5,0,0,0.0,0.0,0.04672897196261682,Low,Low,-0.873455
91,4,Bounce,199,green,110.44,21.98,26.880000000000003,24.96,0.00875,0.5,0.09825,9950,-1,0.0,0.0,0,-1,0.0,,,,192,1,1,2,3,2,3,4,4,2,4,1,0.0051813471502590676,0.6666666666666666,0.010256410256410256,2,1,2,1,0.011627906976744186,0.6666666666666666,0.011494252873563218,Low,Medium,0.65630674
92,5,Bounce,300,red,145.56,23.9,-26.880000000000003,28.8,0.065,0.9,0.09825,15000,-1,1.0,0.0,1,-1,1.0,,,,293,3,3,1,2,1,3,14,4,8,10,7,0.024305555555555556,0.8333333333333334,0.02702702702702703,2,2,4,3,0.023809523809523808,1.0,0.015625,High,High,0.74067
93,6,Bounce,194,red,110.44,234.02,26.880000000000003,-24.96,0.065,0.1,0.09825,9700,-1,0.0,1.0,0,-1,0.0,,,,187,1,1,2,3,1,4,9,3,4,0,5,0.026737967914438502,0.0,0.020942408376963352,1,2,0,3,0.02586206896551724,0.0,0.01694915254237288,High,Low,-0.8502737
94,7,Bounce,294,green,145.56,234.02,-26.880000000000003,-24.96,0.00875,0.5,0.09825,14700,-1,1.0,1.0,0,-1,1.0,,,,287,2,2,3,1,2,2,14,5,5,6,1,0.0035211267605633804,0.6,0.01730103806228374,2,2,3,1,0.00641025641025641,0.75,0.012658227848101266,Low,Medium,-0.39173374
95,8,Bounce,349,blue,110.44,232.1,26.880000000000003,-28.8,0.00875,0.9,0.09825,17450,-1,0.0,1.0,1,-1,0.0,,,,342,2,2,3,1,3,6,11,7,6,12,0,0.0,0.9230769230769231,0.017543859649122806,4,1,5,0,0.0,1.0,0.006211180124223602,Low,High,0.9230769
96,9,Bounce,283,blue,145.56,23.9,-26.880000000000003,28.8,0.065,0.1,0.09825,14150,-1,1.0,0.0,1,-1,1.0,,,,276,2,2,3,1,3,1,2,7,4,0,9,0.03308823529411765,0.0,0.014492753623188406,1,3,0,3,0.030303030303030304,0.0,0.029411764705882353,High,Low,0.1678041
97,10,Bounce,174,red,110.44,23.9,26.880000000000003,28.8,0.065,0.5,0.09825,8700,-1,0.0,0.0,1,-1,0.0,,,,167,1,1,2,3,1,5,13,4,4,5,3,0.018072289156626505,0.625,0.023529411764705882,2,1,1,1,0.014492753623188406,0.3333333333333333,0.014285714285714285,High,Medium,-0.3390193
98,11,Bounce,198,green,145.56,21.98,-26.880000000000003,24.96,0.00875,0.9,0.09825,9900,-1,1.0,0.0,0,-1,1.0,,,,191,1,1,2,3,2,9,13,3,6,9,1,0.005291005291005291,1.0,0.03076923076923077,1,2,3,0,0.0,1.0,0.029850746268656716,Low,High,0.9686738
99,12,Bounce,159,blue,110.44,232.1,26.880000000000003,-28.8,0.00875,0.1,0.09825,7950,-1,0.0,1.0,1,-1,0.0,,,,152,3,3,1,2,3,3,8,4,2,0,0,0.0,0.0,0.012903225806451613,2,0,0,0,0.0,0.0,0.0,Low,Low,-1.0
100,13,Bounce,249,green,145.56,23.9,-26.880000000000003,28.8,0.065,0.5,0.09825,12450,-1,1.0,0.0,1,-1,1.0,,,,242,1,1,2,3,2,8,13,5,4,6,5,0.020833333333333332,0.6666666666666666,0.01639344262295082,2,2,3,2,0.016260162601626018,0.75,0.016,High,Medium,0.62517256
101,14,Bounce,162,red,145.56,21.98,-26.880000000000003,24.96,0.065,0.9,0.09825,8100,-1,1.0,0.0,0,-1,1.0,,,,155,3,3,1,2,1,4,15,3,3,6,2,0.01282051282051282,1.0,0.018867924528301886,2,2,4,0,0.0,1.0,0.029411764705882353,High,High,0.9255412
102,15,Bounce,159,blue,110.44,234.02,26.880000000000003,-24.96,0.00875,0.1,0.09825,7950,-1,0.0,1.0,0,-1,0.0,,,,152,3,3,1,2,3,2,16,2,6,0,0,0.0,0.0,0.03821656050955414,1,3,0,0,0.0,0.0,0.04225352112676056,Low,Low,-1.0
103,16,Bounce,247,red,145.56,232.1,-26.880000000000003,-28.8,0.00875,0.5,0.09825,12350,-1,1.0,1.0,1,-1,1.0,,,,240,3,3,1,2,1,9,7,4,4,5,1,0.0041841004184100415,0.625,0.01646090534979424,2,2,3,1,0.008130081300813009,0.75,0.016,Low,Medium,0.61869264
104,17,Bounce,159,green,110.44,21.98,26.880000000000003,24.96,0.065,0.9,0.09825,7950,-1,0.0,0.0,0,-1,0.0,,,,152,1,1,2,3,2,4,14,4,1,5,1,0.006493506493506494,1.0,0.0064516129032258064,1,1,2,0,0.0,1.0,0.017857142857142856,High,High,0.96167135
105,18,Bounce,233,blue,145.56,23.9,-26.880000000000003,28.8,0.065,0.1,0.09825,11650,-1,1.0,0.0,1,-1,1.0,,,,226,2,2,3,1,3,7,15,3,4,0,5,0.022123893805309734,0.0,0.017391304347826087,2,2,0,2,0.016260162601626018,0.0,0.016,High,Low,0.118698314
106,19,Bounce,173,red,110.44,234.02,26.880000000000003,-24.96,0.00875,0.5,0.09825,8650,-1,0.0,1.0,0,-1,0.0,,,,166,3,3,1,2,1,5,6,4,2,6,0,0.0,1.0,0.011834319526627219,1,1,2,0,0.0,1.0,0.015384615384615385,Low,Medium,1.0
107,20,Bounce,151,green,110.44,234.02,26.880000000000003,-24.96,0.00875,0.9,0.09825,7550,-1,0.0,1.0,0,-1,0.0,,,,144,1,1,2,3,2,1,13,3,3,6,0,0.0,1.0,0.02027027027027027,1,1,2,0,0.0,1.0,0.02,Low,High,1.0
108,21,Bounce,428,red,110.44,23.9,26.880000000000003,28.8,0.065,0.1,0.09825,21400,-1,0.0,0.0,1,-1,0.0,,,,421,1,1,2,3,1,2,12,7,9,3,7,0.01699029126213592,0.1875,0.021377672209026127,3,6,2,2,0.009478672985781991,0.2222222222222222,0.027649769585253458,High,Low,-0.7339456
109,22,Bounce,264,green,145.56,21.98,-26.880000000000003,24.96,0.065,0.5,0.09825,13200,-1,1.0,0.0,0,-1,1.0,,,,257,2,2,3,1,2,7,12,5,4,6,5,0.0196078431372549,0.6666666666666666,0.015444015444015444,1,3,2,2,0.021052631578947368,0.5,0.030612244897959183,High,Medium,-0.29958972
110,23,Bounce,331,blue,145.56,232.1,-26.880000000000003,-28.8,0.00875,0.9,0.09825,16550,-1,1.0,1.0,1,-1,1.0,,,,324,2,2,3,1,3,6,15,6,8,12,1,0.0031545741324921135,0.8571428571428571,0.024615384615384615,3,3,6,0,0.0,1.0,0.025210084033613446,Low,High,0.8437088
