Timestamp,x,y,r,g,b
0,239.80267,199.396,255.0,0.0,0.0
30,237.072,201.444,255.0,0.0,0.0
60,234.34134,203.492,255.0,0.0,0.0
90,231.61067,205.54,255.0,0.0,0.0
120,228.88,207.588,255.0,0.0,0.0
150,226.14934,209.636,255.0,0.0,0.0
180,223.41867,211.684,0.0,255.0,0.0
210,220.688,213.732,0.0,255.0,0.0
240,217.95734,215.78,0.0,255.0,0.0
270,215.22667,217.828,0.0,255.0,0.0
300,212.496,219.876,0.0,255.0,0.0
330,209.76534,221.924,0.0,255.0,0.0
360,207.03467,223.972,0.0,255.0,0.0
390,204.304,226.02,0.0,255.0,0.0
420,201.57333,228.068,0.0,255.0,0.0
450,198.84267,230.116,0.0,255.0,0.0
480,196.112,232.164,0.0,255.0,0.0
510,193.38133,234.212,0.0,255.0,0.0
540,190.65067,236.26,0.0,255.0,0.0
570,187.92,238.308,0.0,255.0,0.0
600,185.18933,240.356,0.0,255.0,0.0
630,182.45866,242.404,0.0,255.0,0.0
660,179.728,244.452,0.0,255.0,0.0
690,176.99733,246.5,0.0,255.0,0.0
720,174.26666,244.452,0.0,255.0,0.0
750,171.536,242.404,0.0,255.0,0.0
780,168.80533,240.356,0.0,255.0,0.0
810,166.07466,238.308,0.0,255.0,0.0
840,163.344,236.26,0.0,255.0,0.0
870,160.61333,234.212,0.0,255.0,0.0
900,157.88266,232.164,127.0,127.0,127.0
930,155.152,230.116,127.0,127.0,127.0
960,152.42134,228.068,127.0,127.0,127.0
990,149.69067,226.02,127.0,127.0,127.0
1020,146.96,223.972,127.0,127.0,127.0
1050,144.22934,221.924,127.0,127.0,127.0
1080,141.49867,219.876,127.0,127.0,127.0
1110,138.768,217.828,127.0,127.0,127.0
1140,136.03734,215.78,127.0,127.0,127.0
1170,133.30667,213.732,127.0,127.0,127.0
1200,130.576,211.684,127.0,127.0,127.0
1230,127.84534,209.636,127.0,127.0,127.0
1260,125.11467,207.588,127.0,127.0,127.0
1290,122.384,205.54,127.0,127.0,127.0
1320,119.653336,203.492,127.0,127.0,127.0
1350,116.92267,201.444,127.0,127.0,127.0
1380,114.192,199.396,127.0,127.0,127.0
1410,111.461334,197.348,127.0,127.0,127.0
1440,108.73067,195.3,127.0,127.0,127.0
1470,106.0,193.252,127.0,127.0,127.0
1500,103.26933,191.204,127.0,127.0,127.0
1530,100.538666,189.156,127.0,127.0,127.0
1560,97.808,187.108,127.0,127.0,127.0
1590,95.07733,185.06,0.0,0.0,255.0
1620,92.346664,183.012,0.0,0.0,255.0
1650,89.616,180.964,0.0,0.0,255.0
1680,86.88533,178.916,0.0,0.0,255.0
1710,84.15466,176.868,0.0,0.0,255.0
1740,81.424,174.82,0.0,0.0,255.0
1770,78.69334,172.772,0.0,0.0,255.0
1800,75.96267,170.724,0.0,0.0,255.0
1830,73.232,168.676,0.0,0.0,255.0
1860,70.501335,166.628,0.0,0.0,255.0
1890,67.77067,164.58,0.0,0.0,255.0
1920,65.04,162.532,0.0,0.0,255.0
1950,67.77067,160.484,0.0,0.0,255.0
1980,70.501335,158.436,0.0,0.0,255.0
2010,73.232,156.388,0.0,0.0,255.0
2040,75.96267,154.34,0.0,0.0,255.0
2070,78.69334,152.292,0.0,0.0,255.0
2100,81.424,150.244,0.0,0.0,255.0
2130,84.15466,148.196,0.0,0.0,255.0
2160,86.88533,146.148,0.0,0.0,255.0
2190,89.616,144.1,0.0,0.0,255.0
2220,92.346664,142.052,0.0,0.0,255.0
2250,95.07733,140.004,0.0,0.0,255.0
2280,97.808,137.956,127.0,127.0,127.0
2310,100.538666,135.908,127.0,127.0,127.0
2340,103.26933,133.86,127.0,127.0,127.0
2370,106.0,131.812,127.0,127.0,127.0
2400,108.73067,129.764,127.0,127.0,127.0
2430,111.461334,127.716,127.0,127.0,127.0
2460,114.192,125.668,127.0,127.0,127.0
2490,116.92267,123.62,127.0,127.0,127.0
2520,119.653336,121.572,127.0,127.0,127.0
2550,122.384,119.524,127.0,127.0,127.0
2580,125.11467,117.476,127.0,127.0,127.0
2610,127.84534,115.428,127.0,127.0,127.0
2640,130.576,113.38,127.0,127.0,127.0
2670,133.30667,111.332,127.0,127.0,127.0
2700,136.03734,109.284,127.0,127.0,127.0
2730,138.768,107.236,127.0,127.0,127.0
2760,141.49867,105.188,127.0,127.0,127.0
2790,144.22934,103.14,127.0,127.0,127.0
2820,146.96,101.092,127.0,127.0,127.0
2850,149.69067,99.044,127.0,127.0,127.0
2880,152.42134,96.996,127.0,127.0,127.0
2910,155.152,94.948,127.0,127.0,127.0
2940,157.88266,92.9,127.0,127.0,127.0
2970,160.61333,90.852,255.0,0.0,0.0
3000,163.344,88.804,255.0,0.0,0.0
3030,166.07466,86.756,255.0,0.0,0.0
3060,168.80533,84.708,255.0,0.0,0.0
3090,171.536,82.66,255.0,0.0,0.0
3120,174.26666,80.612,255.0,0.0,0.0
3150,176.99733,78.564,255.0,0.0,0.0
3180,179.728,76.516,255.0,0.0,0.0
3210,182.45866,74.468,255.0,0.0,0.0
3240,185.18933,72.42,255.0,0.0,0.0
3270,187.92,70.372,0.0,255.0,0.0
3300,190.65067,68.324,0.0,255.0,0.0
3330,193.38133,66.276,0.0,255.0,0.0
3360,196.112,64.228,0.0,255.0,0.0
3390,198.84267,62.18,0.0,255.0,0.0
3420,201.57333,60.132,0.0,255.0,0.0
3450,204.304,58.084,0.0,255.0,0.0
3480,207.03467,56.036,0.0,255.0,0.0
3510,209.76534,53.988,0.0,255.0,0.0
3540,212.496,51.94,0.0,255.0,0.0
3570,215.22667,49.892,0.0,255.0,0.0
3600,217.95734,47.844,0.0,255.0,0.0
3630,220.688,45.796,0.0,255.0,0.0
3660,223.41867,43.748,0.0,255.0,0.0
3690,226.14934,41.7,0.0,255.0,0.0
3720,228.88,39.652,0.0,255.0,0.0
3750,231.61067,37.604,0.0,255.0,0.0
3780,234.34134,35.556,0.0,255.0,0.0
3810,237.072,33.508,0.0,255.0,0.0
3840,239.80267,31.46,0.0,255.0,0.0
3870,242.53334,29.412,0.0,255.0,0.0
3900,245.264,27.364,0.0,255.0,0.0
3930,247.99466,25.316,0.0,255.0,0.0
3960,245.264,23.268,0.0,255.0,0.0
3990,242.53334,21.22,0.0,255.0,0.0
4020,239.80267,19.172,0.0,0.0,255.0
4050,237.072,17.124,0.0,0.0,255.0
4080,234.34134,15.076,0.0,0.0,255.0
4110,231.61067,13.028,0.0,0.0,255.0
4140,228.88,10.98,0.0,0.0,255.0
4170,226.14934,8.932,0.0,0.0,255.0
4200,223.41867,10.98,0.0,0.0,255.0
4230,220.688,13.028,0.0,0.0,255.0
4260,217.95734,15.076,0.0,0.0,255.0
4290,215.22667,17.124,0.0,0.0,255.0
4320,212.496,19.172,0.0,0.0,255.0
4350,209.76534,21.22,0.0,0.0,255.0
4380,207.03467,23.268,0.0,0.0,255.0
4410,204.304,25.316,0.0,0.0,255.0
4440,201.57333,27.364,0.0,0.0,255.0
4470,198.84267,29.412,0.0,0.0,255.0
4500,196.112,31.46,0.0,0.0,255.0
4530,193.38133,33.508,0.0,0.0,255.0
4560,190.65067,35.556,0.0,0.0,255.0
4590,187.92,37.604,0.0,0.0,255.0
4620,185.18933,39.652,255.0,0.0,0.0
4650,182.45866,41.7,255.0,0.0,0.0
4680,179.728,43.748,255.0,0.0,0.0
4710,176.99733,45.796,255.0,0.0,0.0
4740,174.26666,47.844,255.0,0.0,0.0
4770,171.536,49.892,255.0,0.0,0.0
4800,168.80533,51.94,255.0,0.0,0.0
4830,166.07466,53.988,255.0,0.0,0.0
4860,163.344,56.036,255.0,0.0,0.0
4890,160.61333,58.084,255.0,0.0,0.0
4920,157.88266,60.132,127.0,127.0,127.0
4950,155.152,62.18,127.0,127.0,127.0
4980,152.42134,64.228,127.0,127.0,127.0
5010,149.69067,66.276,127.0,127.0,127.0
5040,146.96,68.324,127.0,127.0,127.0
5070,144.22934,70.372,127.0,127.0,127.0
5100,141.49867,72.42,127.0,127.0,127.0
5130,138.768,74.468,127.0,127.0,127.0
5160,136.03734,76.516,127.0,127.0,127.0
5190,133.30667,78.564,127.0,127.0,127.0
5220,130.576,80.612,127.0,127.0,127.0
5250,127.84534,82.66,127.0,127.0,127.0
5280,125.11467,84.708,127.0,127.0,127.0
5310,122.384,86.756,127.0,127.0,127.0
5340,119.653336,88.804,127.0,127.0,127.0
5370,116.92267,90.852,127.0,127.0,127.0
5400,114.192,92.9,127.0,127.0,127.0
5430,111.461334,94.948,127.0,127.0,127.0
5460,108.73067,96.996,127.0,127.0,127.0
5490,106.0,99.044,127.0,127.0,127.0
5520,103.26933,101.092,127.0,127.0,127.0
5550,100.538666,103.14,127.0,127.0,127.0
5580,97.808,105.188,127.0,127.0,127.0
5610,95.07733,107.236,0.0,255.0,0.0
5640,92.346664,109.284,0.0,255.0,0.0
5670,89.616,111.332,0.0,255.0,0.0
5700,86.88533,113.38,0.0,255.0,0.0
5730,84.15466,115.428,0.0,255.0,0.0
5760,81.424,117.476,0.0,255.0,0.0
