Timestamp,x,y,r,g,b
0,61.952,86.65086,0.0,255.0,0.0
35,59.221333,90.06419,0.0,255.0,0.0
70,56.490665,93.47753,0.0,255.0,0.0
105,53.76,96.89086,0.0,255.0,0.0
140,51.029335,100.3042,0.0,255.0,0.0
175,48.298668,103.71753,0.0,255.0,0.0
210,45.568,107.13087,0.0,255.0,0.0
245,42.837334,110.5442,0.0,255.0,0.0
280,40.106667,113.95753,0.0,255.0,0.0
315,37.376,117.370865,0.0,255.0,0.0
350,34.645332,120.784195,0.0,255.0,0.0
385,31.914667,124.19753,0.0,255.0,0.0
420,29.184,127.61086,0.0,255.0,0.0
455,26.453333,131.0242,0.0,255.0,0.0
490,23.722666,134.43753,0.0,255.0,0.0
525,20.992,137.85086,0.0,255.0,0.0
560,18.261333,141.26419,0.0,255.0,0.0
595,15.530666,144.67754,0.0,255.0,0.0
630,12.8,148.09087,0.0,255.0,0.0
665,10.069333,151.5042,0.0,255.0,0.0
700,7.3386664,154.91753,0.0,0.0,255.0
735,10.069333,158.33087,0.0,0.0,255.0
770,12.8,161.7442,0.0,0.0,255.0
805,15.530666,165.15753,0.0,0.0,255.0
840,18.261333,168.57086,0.0,0.0,255.0
875,20.992,171.98419,0.0,0.0,255.0
910,23.722666,175.39754,0.0,0.0,255.0
945,26.453333,178.81087,0.0,0.0,255.0
980,29.184,182.2242,0.0,0.0,255.0
1015,31.914667,185.63753,0.0,0.0,255.0
1050,34.645332,189.05086,0.0,0.0,255.0
1085,37.376,192.4642,0.0,0.0,255.0
1120,40.106667,195.87753,0.0,0.0,255.0
1155,42.837334,199.29086,0.0,0.0,255.0
1190,45.568,202.7042,0.0,0.0,255.0
1225,48.298668,206.11754,0.0,0.0,255.0
1260,51.029335,209.53087,0.0,0.0,255.0
1295,53.76,212.9442,0.0,0.0,255.0
1330,56.490665,216.35753,0.0,0.0,255.0
1365,59.221333,219.77086,0.0,0.0,255.0
1400,61.952,223.1842,0.0,0.0,255.0
1435,64.68266,226.59753,0.0,0.0,255.0
1470,67.41333,230.01086,0.0,0.0,255.0
1505,70.144,233.4242,0.0,0.0,255.0
1540,72.874664,236.83752,0.0,0.0,255.0
1575,75.60533,240.25087,0.0,0.0,255.0
1610,78.336,243.6642,0.0,0.0,255.0
1645,81.066666,247.07753,0.0,0.0,255.0
1680,83.79733,243.6642,0.0,0.0,255.0
1715,86.528,240.25087,0.0,0.0,255.0
1750,89.25867,236.83752,0.0,0.0,255.0
1785,91.989334,233.4242,0.0,0.0,255.0
1820,94.72,230.01086,0.0,0.0,255.0
1855,97.45067,226.59753,0.0,0.0,255.0
1890,100.181335,223.1842,0.0,0.0,255.0
1925,102.912,219.77086,0.0,0.0,255.0
1960,105.64267,216.35753,0.0,0.0,255.0
1995,108.37334,212.9442,0.0,0.0,255.0
2030,111.104,209.53087,0.0,0.0,255.0
2065,113.83466,206.11754,0.0,0.0,255.0
2100,116.56533,202.7042,0.0,0.0,255.0
2135,119.296,199.29086,0.0,0.0,255.0
2170,122.026665,195.87753,255.0,0.0,0.0
2205,124.75733,192.4642,255.0,0.0,0.0
2240,127.488,189.05086,255.0,0.0,0.0
2275,130.21867,185.63753,255.0,0.0,0.0
2310,132.94934,182.2242,255.0,0.0,0.0
2345,135.68,178.81087,255.0,0.0,0.0
2380,138.41066,175.39754,255.0,0.0,0.0
2415,141.14133,171.98419,255.0,0.0,0.0
2450,143.872,168.57086,255.0,0.0,0.0
2485,146.60266,165.15753,255.0,0.0,0.0
2520,149.33333,161.7442,255.0,0.0,0.0
2555,152.064,158.33087,255.0,0.0,0.0
2590,154.79466,154.91753,255.0,0.0,0.0
2625,157.52533,151.5042,255.0,0.0,0.0
2660,160.256,148.09087,255.0,0.0,0.0
2695,162.98666,144.67754,255.0,0.0,0.0
2730,165.71733,141.26419,255.0,0.0,0.0
2765,168.448,137.85086,255.0,0.0,0.0
2800,171.17867,134.43753,255.0,0.0,0.0
2835,173.90933,131.0242,255.0,0.0,0.0
2870,176.64,127.61086,255.0,0.0,0.0
2905,179.37067,124.19753,255.0,0.0,0.0
2940,182.10133,120.784195,255.0,0.0,0.0
2975,184.832,117.370865,255.0,0.0,0.0
3010,187.56267,113.95753,255.0,0.0,0.0
3045,190.29333,110.5442,255.0,0.0,0.0
3080,193.024,107.13087,255.0,0.0,0.0
3115,195.75467,103.71753,255.0,0.0,0.0
3150,198.48534,100.3042,255.0,0.0,0.0
3185,201.216,96.89086,255.0,0.0,0.0
3220,203.94667,93.47753,255.0,0.0,0.0
3255,206.67734,90.06419,255.0,0.0,0.0
3290,209.408,86.65086,255.0,0.0,0.0
3325,212.13867,83.23753,255.0,0.0,0.0
3360,214.86934,79.824196,255.0,0.0,0.0
3395,217.6,76.410866,255.0,0.0,0.0
3430,220.33067,72.99753,255.0,0.0,0.0
3465,223.06134,69.5842,255.0,0.0,0.0
3500,225.792,66.17087,255.0,0.0,0.0
3535,228.52266,62.75753,255.0,0.0,0.0
3570,231.25333,59.344196,255.0,0.0,0.0
3605,233.984,55.930862,255.0,0.0,0.0
3640,236.71466,52.517532,255.0,0.0,0.0
3675,239.44533,49.1042,255.0,0.0,0.0
3710,242.176,45.690865,255.0,0.0,0.0
3745,244.90666,42.27753,255.0,0.0,0.0
3780,247.63733,38.864197,255.0,0.0,0.0
3815,244.90666,35.450863,255.0,0.0,0.0
3850,242.176,32.03753,255.0,0.0,0.0
3885,239.44533,28.624197,255.0,0.0,0.0
3920,236.71466,25.210865,255.0,0.0,0.0
3955,233.984,21.797531,255.0,0.0,0.0
3990,231.25333,18.384197,255.0,0.0,0.0
4025,228.52266,14.970864,255.0,0.0,0.0
4060,225.792,11.55753,255.0,0.0,0.0
4095,223.06134,8.144197,0.0,255.0,0.0
4130,220.33067,11.55753,0.0,255.0,0.0
4165,217.6,14.970864,0.0,255.0,0.0
4200,214.86934,18.384197,0.0,255.0,0.0
4235,212.13867,21.797531,0.0,255.0,0.0
4270,209.408,25.210865,0.0,255.0,0.0
4305,206.67734,28.624197,0.0,255.0,0.0
4340,203.94667,32.03753,0.0,255.0,0.0
4375,201.216,35.450863,0.0,255.0,0.0
4410,198.48534,38.864197,0.0,255.0,0.0
4445,195.75467,42.27753,0.0,255.0,0.0
4480,193.024,45.690865,0.0,255.0,0.0
4515,190.29333,49.1042,0.0,255.0,0.0
4550,187.56267,52.517532,0.0,255.0,0.0
4585,184.832,55.930862,0.0,255.0,0.0
4620,182.10133,59.344196,0.0,255.0,0.0
4655,179.37067,62.75753,0.0,255.0,0.0
4690,176.64,66.17087,0.0,255.0,0.0
4725,173.90933,69.5842,0.0,255.0,0.0
4760,171.17867,72.99753,0.0,255.0,0.0
4795,168.448,76.410866,0.0,255.0,0.0
4830,165.71733,79.824196,0.0,255.0,0.0
4865,162.98666,83.23753,0.0,255.0,0.0
4900,160.256,86.65086,0.0,255.0,0.0
4935,157.52533,90.06419,0.0,255.0,0.0
4970,154.79466,93.47753,0.0,255.0,0.0
5005,152.064,96.89086,0.0,255.0,0.0
5040,149.33333,100.3042,0.0,255.0,0.0
5075,146.60266,103.71753,0.0,255.0,0.0
5110,143.872,107.13087,0.0,255.0,0.0
5145,141.14133,110.5442,0.0,255.0,0.0
5180,138.41066,113.95753,0.0,255.0,0.0
5215,135.68,117.370865,0.0,255.0,0.0
5250,132.94934,120.784195,0.0,255.0,0.0
5285,130.21867,124.19753,0.0,0.0,255.0
5320,127.488,127.61086,0.0,0.0,255.0
5355,124.75733,131.0242,0.0,0.0,255.0
5390,122.026665,134.43753,0.0,0.0,255.0
5425,119.296,137.85086,0.0,0.0,255.0
5460,116.56533,141.26419,0.0,0.0,255.0
5495,113.83466,144.67754,0.0,0.0,255.0
5530,111.104,148.09087,0.0,0.0,255.0
5565,108.37334,151.5042,0.0,0.0,255.0
5600,105.64267,154.91753,0.0,0.0,255.0
5635,102.912,158.33087,0.0,0.0,255.0
5670,100.181335,161.7442,0.0,0.0,255.0
5705,97.45067,165.15753,0.0,0.0,255.0
5740,94.72,168.57086,0.0,0.0,255.0
5775,91.989334,171.98419,0.0,0.0,255.0
5810,89.25867,175.39754,0.0,0.0,255.0
5845,86.528,178.81087,0.0,0.0,255.0
5880,83.79733,182.2242,0.0,0.0,255.0
5915,81.066666,185.63753,0.0,0.0,255.0
5950,78.336,189.05086,0.0,0.0,255.0
5985,75.60533,192.4642,0.0,0.0,255.0
6020,72.874664,195.87753,0.0,0.0,255.0
6055,70.144,199.29086,0.0,0.0,255.0
6090,67.41333,202.7042,0.0,0.0,255.0
6125,64.68266,206.11754,0.0,0.0,255.0
6160,61.952,209.53087,0.0,0.0,255.0
6195,59.221333,212.9442,0.0,0.0,255.0
6230,56.490665,216.35753,0.0,0.0,255.0
6265,53.76,219.77086,0.0,0.0,255.0
6300,51.029335,223.1842,0.0,0.0,255.0
6335,48.298668,226.59753,0.0,0.0,255.0
6370,45.568,230.01086,0.0,0.0,255.0
6405,42.837334,233.4242,0.0,0.0,255.0
6440,40.106667,236.83752,0.0,0.0,255.0
6475,37.376,240.25087,0.0,0.0,255.0
6510,34.645332,243.6642,0.0,0.0,255.0
6545,31.914667,247.07753,255.0,0.0,0.0
6580,29.184,243.6642,255.0,0.0,0.0
6615,26.453333,240.25087,255.0,0.0,0.0
6650,23.722666,236.83752,255.0,0.0,0.0
6685,20.992,233.4242,255.0,0.0,0.0
6720,18.261333,230.01086,255.0,0.0,0.0
6755,15.530666,226.59753,255.0,0.0,0.0
6790,12.8,223.1842,255.0,0.0,0.0
6825,10.069333,219.77086,255.0,0.0,0.0
6860,7.3386664,216.35753,0.0,255.0,0.0
6895,10.069333,212.9442,0.0,255.0,0.0
6930,12.8,209.53087,0.0,255.0,0.0
6965,15.530666,206.11754,0.0,255.0,0.0
7000,18.261333,202.7042,0.0,255.0,0.0
7035,20.992,199.29086,0.0,255.0,0.0
7070,23.722666,195.87753,0.0,255.0,0.0
7105,26.453333,192.4642,0.0,255.0,0.0
7140,29.184,189.05086,0.0,255.0,0.0
7175,31.914667,185.63753,0.0,255.0,0.0
7210,34.645332,182.2242,0.0,255.0,0.0
7245,37.376,178.81087,0.0,0.0,255.0
7280,40.106667,175.39754,0.0,0.0,255.0
7315,42.837334,171.98419,0.0,0.0,255.0
7350,45.568,168.57086,0.0,0.0,255.0
7385,48.298668,165.15753,0.0,0.0,255.0
7420,51.029335,161.7442,0.0,0.0,255.0
7455,53.76,158.33087,0.0,0.0,255.0
7490,56.490665,154.91753,0.0,0.0,255.0
7525,59.221333,151.5042,0.0,0.0,255.0
7560,61.952,148.09087,0.0,0.0,255.0
7595,64.68266,144.67754,0.0,0.0,255.0
7630,67.41333,141.26419,0.0,0.0,255.0
7665,70.144,137.85086,0.0,0.0,255.0
7700,72.874664,134.43753,0.0,0.0,255.0
7735,75.60533,131.0242,0.0,0.0,255.0
7770,78.336,127.61086,0.0,0.0,255.0
7805,81.066666,124.19753,0.0,0.0,255.0
7840,83.79733,120.784195,0.0,0.0,255.0
7875,86.528,117.370865,0.0,0.0,255.0
7910,89.25867,113.95753,0.0,0.0,255.0
7945,91.989334,110.5442,255.0,0.0,0.0
7980,94.72,107.13087,255.0,0.0,0.0
8015,97.45067,103.71753,255.0,0.0,0.0
8050,100.181335,100.3042,255.0,0.0,0.0
8085,102.912,96.89086,255.0,0.0,0.0
