Video ID,idx_trial,trial,idx_time,side_left_right,side_top_bottom,idx_velocity_y,idx_x_position,idx_y_position,length,Final Color,Final X Position,Final Y Position,Final X Velocity,Final Y Velocity,PCCNVC,PCCOVC,PVC,length_ms,idx_position,bounce_x_y,idx_pos_y_bounce,last_visible_color_idx,last_visible_color,color_entered,color_next,color_after_next,correct_response,Dataset Block,Dataset Block Video,Bounces,Random Bounces,Color Change Bounce,Color Change Random,PCCNVC_effective,PCCOVC_effective,PVC_effective,Bounces observable,Random Bounces observable,Color Change Bounce observable,Color Change Random observable,PCCNVC_effective_observable,PCCOVC_effective_observable,PVC_effective_observable,Hazard Rate,Contingency,cwl
155,53,Bounce,-1,1,1,0,1,,273,red,130.88533,232.164,-27.306666662399998,-20.48,0.1,0.925,0.025,8190,-1,,,261,3,3,1,2,1,15,6,6,2,8,6,0.022641509433962263,1.0,0.00749063670411985,1,0,1,1,0.017857142857142856,1.0,0.0,High,High,0.77890193
156,54,Bounce,-1,1,0,0,1,,236,red,130.88533,23.836,-27.306666662399998,20.48,0.1,0.1,0.025,7080,-1,,,224,3,3,1,2,1,20,8,5,1,1,7,0.030434782608695653,0.16666666666666666,0.004329004329004329,1,1,0,3,0.05454545454545454,0.0,0.017857142857142856,High,Low,0.3242363
157,55,Bounce,-1,1,0,1,1,,219,green,130.88533,33.393333,-27.306666662399998,34.1333333248,0.0065,0.5125000000000001,0.025,6570,-1,,,207,2,2,3,1,2,19,4,7,1,4,0,0.0,0.5,0.0047169811320754715,3,0,2,0,0.0,0.6666666666666666,0.0,Low,Medium,-0.5
158,56,Bounce,-1,0,0,1,0,,283,blue,125.11467,33.393333,27.306666662399998,34.1333333248,0.0065,0.925,0.025,8490,-1,,,271,2,2,3,1,3,12,8,7,2,9,0,0.0,1.0,0.007246376811594203,2,0,2,0,0.0,1.0,0.0,Low,High,1.0
159,57,Bounce,-1,0,1,1,0,,241,blue,125.11467,222.60667,27.306666662399998,-34.1333333248,0.1,0.1,0.025,7230,-1,,,229,2,2,3,1,3,2,8,6,1,1,9,0.038461538461538464,0.14285714285714285,0.00425531914893617,2,0,1,2,0.03636363636363636,0.5,0.0,High,Low,0.3392326
160,58,Bounce,-1,0,1,0,0,,235,red,125.11467,232.164,27.306666662399998,-20.48,0.1,0.5125000000000001,0.025,7050,-1,,,223,2,2,3,1,1,6,11,5,1,4,5,0.021834061135371178,0.6666666666666666,0.004347826086956522,1,0,1,2,0.03571428571428571,1.0,0.0,High,Medium,0.13560754
161,59,Bounce,-1,1,1,0,1,,327,green,130.88533,232.164,-27.306666662399998,-20.48,0.0065,0.925,0.025,9810,-1,,,315,2,2,3,1,2,6,4,6,2,7,0,0.0,0.875,0.006230529595015576,1,0,0,0,0.0,0.0,0.0,Low,High,-0.125
162,60,Bounce,-1,1,0,0,1,,246,green,130.88533,23.836,-27.306666662399998,20.48,0.0065,0.1,0.025,7380,-1,,,234,2,2,3,1,2,11,3,5,2,2,1,0.0041841004184100415,0.2857142857142857,0.008298755186721992,1,0,0,0,0.0,0.0,0.0,Low,Low,-0.68236315
163,61,Bounce,-1,1,1,1,1,,209,blue,130.88533,222.60667,-27.306666662399998,-34.1333333248,0.1,0.5125000000000001,0.025,6270,-1,,,197,1,1,2,3,3,24,2,6,1,4,7,0.034653465346534656,0.5714285714285714,0.0049261083743842365,2,1,2,3,0.05555555555555555,0.6666666666666666,0.01818181818181818,High,Medium,0.1739135
164,62,Bounce,-1,1,1,0,1,,201,red,130.88533,232.164,-27.306666662399998,-20.48,0.1,0.925,0.025,6030,-1,,,189,2,2,3,1,1,4,9,3,1,4,4,0.02030456852791878,1.0,0.005050505050505051,1,0,1,3,0.05357142857142857,1.0,0.0,High,High,0.18197563
165,63,Bounce,-1,0,0,0,0,,332,red,125.11467,23.836,27.306666662399998,20.48,0.0065,0.1,0.025,9960,-1,,,320,1,1,2,3,1,22,8,7,2,1,1,0.0030959752321981426,0.1111111111111111,0.006153846153846154,1,1,0,0,0.0,0.0,0.012658227848101266,Low,Low,-0.85914266
166,64,Bounce,-1,0,0,1,0,,206,green,125.11467,33.393333,27.306666662399998,34.1333333248,0.0065,0.5125000000000001,0.025,6180,-1,,,194,1,1,2,3,2,11,9,5,1,4,2,0.01,0.6666666666666666,0.004975124378109453,3,0,3,1,0.018518518518518517,1.0,0.0,Low,Medium,0.6301554
167,65,Bounce,-1,0,1,1,0,,221,blue,125.11467,222.60667,27.306666662399998,-34.1333333248,0.1,0.925,0.025,6630,-1,,,209,1,1,2,3,3,22,10,6,1,6,6,0.028037383177570093,0.8571428571428571,0.004651162790697674,3,0,3,2,0.03076923076923077,1.0,0.0,High,High,0.2038462
168,66,Bounce,-1,0,0,1,0,,244,blue,125.11467,33.393333,27.306666662399998,34.1333333248,0.1,0.1,0.025,7320,-1,,,232,3,3,1,2,3,5,10,6,2,0,7,0.029661016949152543,0.0,0.008403361344537815,2,0,0,2,0.03636363636363636,0.0,0.0,High,Low,-0.7214402
169,67,Bounce,-1,0,1,0,0,,203,red,125.11467,232.164,27.306666662399998,-20.48,0.0065,0.5125000000000001,0.025,6090,-1,,,191,1,1,2,3,1,21,1,4,1,1,3,0.015151515151515152,0.2,0.005025125628140704,2,1,1,1,0.018518518518518517,0.3333333333333333,0.01818181818181818,Low,Medium,-0.6789297
170,68,Bounce,-1,1,1,1,1,,214,green,130.88533,222.60667,-27.306666662399998,-34.1333333248,0.0065,0.925,0.025,6420,-1,,,202,1,1,2,3,2,13,11,4,2,6,0,0.0,1.0,0.009523809523809525,2,0,2,0,0.0,1.0,0.0,Low,High,1.0
171,69,Bounce,-1,1,0,0,1,,302,green,130.88533,23.836,-27.306666662399998,20.48,0.1,0.1,0.025,9060,-1,,,290,1,1,2,3,2,1,9,4,2,0,13,0.04391891891891892,0.0,0.006711409395973154,1,0,0,4,0.05063291139240506,0.0,0.0,High,Low,0.30920947
172,70,Bounce,-1,0,1,1,0,,338,blue,125.11467,222.60667,27.306666662399998,-34.1333333248,0.1,0.5125000000000001,0.025,10140,-1,,,326,2,2,3,1,3,6,2,7,3,4,9,0.027439024390243903,0.4,0.00906344410876133,2,0,1,2,0.022727272727272728,0.5,0.0,High,Medium,0.4328382
173,71,Bounce,-1,1,0,0,1,,225,red,130.88533,23.836,-27.306666662399998,20.48,0.0065,0.925,0.025,6750,-1,,,213,3,3,1,2,1,8,7,5,1,6,0,0.0,1.0,0.004545454545454545,1,1,2,0,0.0,1.0,0.018518518518518517,Low,High,1.0
174,72,Bounce,-1,0,0,1,0,,292,red,125.11467,33.393333,27.306666662399998,34.1333333248,0.0065,0.1,0.025,8760,-1,,,280,3,3,1,2,1,18,5,8,1,2,1,0.0035335689045936395,0.2222222222222222,0.0035211267605633804,2,0,1,0,0.0,0.5,0.0,Low,Low,0.24291745
175,73,Bounce,-1,1,1,0,1,,369,green,130.88533,232.164,-27.306666662399998,-20.48,0.1,0.5125000000000001,0.025,11070,-1,,,357,1,1,2,3,2,7,6,7,1,1,12,0.0332409972299169,0.125,0.0027624309392265192,1,0,0,5,0.049019607843137254,0.0,0.0,High,Medium,0.31520638
176,74,Bounce,-1,1,0,1,1,,312,blue,130.88533,33.393333,-27.306666662399998,34.1333333248,0.1,0.925,0.025,9360,-1,,,300,2,2,3,1,3,25,7,7,2,9,9,0.0297029702970297,1.0,0.006557377049180328,2,1,3,3,0.03225806451612903,1.0,0.010638297872340425,High,High,0.72111195
177,75,Bounce,-1,0,0,0,0,,368,blue,125.11467,23.836,27.306666662399998,20.48,0.0065,0.1,0.025,11040,-1,,,356,3,3,1,2,3,10,10,8,2,1,1,0.002793296089385475,0.1,0.005555555555555556,1,0,0,0,0.0,0.0,0.0,Low,Low,-0.87277436
178,76,Bounce,-1,1,1,0,1,,206,red,130.88533,232.164,-27.306666662399998,-20.48,0.0065,0.5125000000000001,0.025,6180,-1,,,194,3,3,1,2,1,6,1,4,1,2,0,0.0,0.4,0.0049504950495049506,1,0,1,0,0.0,1.0,0.0,Low,Medium,0.4
179,77,Bounce,-1,0,1,1,0,,219,green,125.11467,222.60667,27.306666662399998,-34.1333333248,0.1,0.925,0.025,6570,-1,,,207,1,1,2,3,2,1,7,7,2,9,5,0.023809523809523808,1.0,0.009433962264150943,1,1,2,1,0.022222222222222223,1.0,0.021739130434782608,High,High,0.7689866
180,78,Bounce,-1,0,0,0,0,,344,green,125.11467,23.836,27.306666662399998,20.48,0.1,0.1,0.025,10320,-1,,,332,1,1,2,3,2,21,7,7,2,1,12,0.03582089552238806,0.1111111111111111,0.005934718100890208,2,0,0,3,0.031914893617021274,0.0,0.0,High,Low,0.3185843
181,79,Bounce,-1,0,1,1,0,,255,blue,125.11467,222.60667,27.306666662399998,-34.1333333248,0.0065,0.5125000000000001,0.025,7650,-1,,,243,2,2,3,1,3,14,9,7,1,5,1,0.004048582995951417,0.625,0.004032258064516129,2,1,2,0,0.0,0.6666666666666666,0.017241379310344827,Low,Medium,0.6137658
