Timestamp,x,y,r,g,b,vc_bounce,vc_random,cc_bounce,cc_random
0,245.30533,151.07333,0.0,255.0,0.0,0.0,0.0,0.0,1.0
30,242.57466,154.48666,0.0,0.0,255.0,0.0,0.0,0.0,0.0
60,239.844,157.9,0.0,0.0,255.0,0.0,0.0,0.0,0.0
90,237.11333,161.31334,0.0,0.0,255.0,0.0,0.0,0.0,0.0
120,234.38266,164.72667,0.0,0.0,255.0,0.0,0.0,0.0,0.0
150,231.652,168.14,0.0,0.0,255.0,0.0,0.0,0.0,0.0
180,228.92134,171.55333,0.0,0.0,255.0,0.0,0.0,0.0,0.0
210,226.19067,174.96666,0.0,0.0,255.0,0.0,0.0,0.0,0.0
240,223.46,178.38,0.0,0.0,255.0,0.0,0.0,0.0,0.0
270,220.72934,181.79333,0.0,0.0,255.0,0.0,0.0,0.0,0.0
300,217.99867,185.20667,0.0,0.0,255.0,0.0,0.0,0.0,0.0
330,215.268,188.62,0.0,0.0,255.0,0.0,0.0,0.0,0.0
360,212.53734,192.03334,0.0,0.0,255.0,0.0,0.0,0.0,0.0
390,209.80667,195.44667,0.0,0.0,255.0,0.0,0.0,0.0,0.0
420,207.076,198.86,0.0,0.0,255.0,0.0,0.0,0.0,0.0
450,204.34534,202.27333,0.0,0.0,255.0,0.0,0.0,0.0,0.0
480,201.61467,205.68666,0.0,0.0,255.0,0.0,0.0,0.0,0.0
510,198.884,209.1,0.0,0.0,255.0,0.0,0.0,0.0,0.0
540,196.15334,212.51334,0.0,0.0,255.0,0.0,0.0,0.0,0.0
570,193.42267,215.92667,0.0,0.0,255.0,0.0,0.0,0.0,0.0
600,190.692,219.34,0.0,0.0,255.0,0.0,0.0,0.0,0.0
630,187.96133,222.75333,0.0,0.0,255.0,0.0,0.0,0.0,0.0
660,185.23067,226.16667,0.0,0.0,255.0,0.0,0.0,0.0,0.0
690,182.5,229.58,0.0,0.0,255.0,0.0,0.0,0.0,0.0
720,179.76933,232.99333,0.0,0.0,255.0,0.0,0.0,0.0,0.0
750,177.03867,236.40666,0.0,0.0,255.0,0.0,0.0,0.0,0.0
780,174.308,239.82,0.0,0.0,255.0,0.0,0.0,0.0,0.0
810,171.57733,243.23334,0.0,0.0,255.0,1.0,0.0,1.0,0.0
840,168.84666,246.64667,255.0,0.0,0.0,0.0,0.0,0.0,0.0
870,166.116,243.23334,255.0,0.0,0.0,0.0,0.0,0.0,0.0
900,163.38533,239.82,255.0,0.0,0.0,0.0,0.0,0.0,0.0
930,160.65466,236.40666,255.0,0.0,0.0,0.0,0.0,0.0,1.0
960,157.924,232.99333,0.0,255.0,0.0,0.0,0.0,0.0,0.0
990,155.19333,229.58,0.0,255.0,0.0,0.0,0.0,0.0,0.0
1020,152.46266,226.16667,0.0,255.0,0.0,0.0,0.0,0.0,0.0
1050,149.732,222.75333,0.0,255.0,0.0,0.0,0.0,0.0,0.0
1080,147.00133,219.34,0.0,255.0,0.0,0.0,0.0,0.0,0.0
1110,144.27066,215.92667,0.0,255.0,0.0,0.0,0.0,0.0,0.0
1140,141.54,212.51334,0.0,255.0,0.0,0.0,0.0,0.0,0.0
1170,138.80933,209.1,0.0,255.0,0.0,0.0,0.0,0.0,0.0
1200,136.07866,205.68666,0.0,255.0,0.0,0.0,0.0,0.0,0.0
1230,133.348,202.27333,0.0,255.0,0.0,0.0,0.0,0.0,0.0
1260,130.61734,198.86,0.0,255.0,0.0,0.0,0.0,0.0,0.0
1290,127.886665,195.44667,0.0,255.0,0.0,0.0,0.0,0.0,0.0
1320,125.156,192.03334,0.0,255.0,0.0,0.0,0.0,0.0,0.0
1350,122.42533,188.62,0.0,255.0,0.0,0.0,0.0,0.0,0.0
1380,119.694664,185.20667,0.0,255.0,0.0,0.0,0.0,0.0,0.0
1410,116.964,181.79333,0.0,255.0,0.0,0.0,0.0,0.0,0.0
1440,114.23333,178.38,0.0,255.0,0.0,0.0,0.0,0.0,0.0
1470,111.50267,174.96666,0.0,255.0,0.0,0.0,0.0,0.0,0.0
1500,108.772,171.55333,0.0,255.0,0.0,0.0,0.0,0.0,0.0
1530,106.041336,168.14,0.0,255.0,0.0,0.0,0.0,0.0,0.0
1560,103.31067,164.72667,0.0,255.0,0.0,0.0,0.0,0.0,0.0
1590,100.58,161.31334,0.0,255.0,0.0,0.0,0.0,0.0,0.0
1620,97.849335,157.9,0.0,255.0,0.0,0.0,0.0,0.0,0.0
1650,95.11867,154.48666,0.0,255.0,0.0,0.0,0.0,0.0,0.0
1680,92.388,151.07333,0.0,255.0,0.0,0.0,0.0,0.0,0.0
1710,89.65733,147.66,0.0,255.0,0.0,0.0,0.0,0.0,0.0
1740,86.92667,144.24667,0.0,255.0,0.0,0.0,0.0,0.0,0.0
1770,84.196,140.83333,0.0,255.0,0.0,0.0,0.0,0.0,0.0
1800,81.46533,137.42,0.0,255.0,0.0,0.0,0.0,0.0,0.0
1830,78.734665,134.00667,0.0,255.0,0.0,0.0,0.0,0.0,0.0
1860,76.004,130.59334,0.0,255.0,0.0,0.0,0.0,0.0,0.0
1890,73.27333,127.18,0.0,255.0,0.0,0.0,0.0,0.0,0.0
1920,70.54266,123.76667,0.0,255.0,0.0,0.0,0.0,0.0,0.0
1950,67.812,120.35333,0.0,255.0,0.0,0.0,0.0,0.0,0.0
1980,65.08134,116.94,0.0,255.0,0.0,0.0,0.0,0.0,0.0
2010,62.350666,113.526665,0.0,255.0,0.0,0.0,0.0,0.0,0.0
2040,59.62,110.113335,0.0,255.0,0.0,0.0,0.0,0.0,0.0
2070,56.88933,106.7,0.0,255.0,0.0,0.0,0.0,0.0,0.0
2100,54.15867,103.28667,0.0,255.0,0.0,0.0,0.0,0.0,0.0
2130,51.428,99.87334,0.0,255.0,0.0,0.0,0.0,0.0,0.0
2160,48.697334,96.46,0.0,255.0,0.0,0.0,0.0,0.0,0.0
2190,45.966667,93.04667,0.0,255.0,0.0,0.0,0.0,0.0,0.0
2220,43.236,89.63333,0.0,255.0,0.0,0.0,0.0,0.0,0.0
