Video ID,idx_trial,trial,length,Final Color,Final X Position,Final Y Position,Final X Velocity,Final Y Velocity,PCCNVC,PCCOVC,PVC,length_ms,idx_time,side_left_right,side_top_bottom,idx_velocity_y,idx_position,idx_x_position,last_visible_color_idx,last_visible_color_idx_cent,last_visible_color_idx_inner,last_visible_color,color_entered,color_next,color_after_next,Dataset Block,Dataset Block Video,Bounces,Random Bounces,Color Change Bounce,Color Change Random,PCCNVC_effective,PCCNVC_effective_ps,PCCOVC_effective,PVC_effective,PVC_effective_ps,Bounces observable,Random Bounces observable,Color Change Bounce observable,Color Change Random observable,PCCNVC_effective_observable,PCCNVC_effective_observable_ps,PCCOVC_effective_observable,PVC_effective_observable,PVC_effective_observable_ps,Hazard Rate,Contingency,correct_response,PCCNVC_adjusted,cwl
26,15,Straight,404,blue,159.0,50.623375,-28.16,-25.6,0.0185,0.1,0.0,20200,0,1.0,0.0,0,-1,,395,399,402,3,3,1,2,1,16,9,0,1,5,0.012658227848101266,0.25316455696202533,0.1111111111111111,0.0,0.0,7,0,0,2,0.007407407407407408,0.14814814814814814,0.0,0.0,0.0,Low,Low,3,0.011564624769186516,-0.9748438
27,16,Straight,328,green,159.0,74.545456,28.16,-30.72,0.0185,0.5,0.0,16400,2,0.0,0.0,1,-1,,297,301,304,2,2,3,1,5,3,8,0,3,3,0.010101010101010102,0.20202020202020202,0.375,0.0,0.0,8,0,3,2,0.009523809523809525,0.19047619047619047,0.375,0.0,0.0,Low,Medium,2,0.011564624769186516,-0.78544205
28,17,Straight,241,red,128.0,136.36363,28.16,25.6,0.0775,0.9,0.0,12050,1,0.0,1.0,0,-1,,221,225,228,1,1,2,3,4,18,6,0,5,8,0.03619909502262444,0.7239819004524887,0.8333333333333334,0.0,0.0,6,0,5,5,0.03125,0.625,0.8333333333333334,0.0,0.0,High,High,1,0.034582452229360496,-0.62859195
29,18,Straight,249,blue,97.0,236.0,28.16,30.72,0.0775,0.1,0.0,12450,0,0.0,1.0,1,-1,,240,244,247,3,3,1,2,7,16,6,0,1,10,0.041666666666666664,0.8333333333333334,0.16666666666666666,0.0,0.0,3,0,0,8,0.05,1.0,0.0,0.0,0.0,High,Low,3,0.034582452229360496,-0.9184028
30,19,Straight,234,green,128.0,236.0,-28.16,25.6,0.0185,0.5,0.0,11700,1,1.0,1.0,0,-1,,214,218,221,2,2,3,1,6,15,5,0,2,4,0.018691588785046728,0.37383177570093457,0.4,0.0,0.0,3,0,1,2,0.01282051282051282,0.2564102564102564,0.3333333333333333,0.0,0.0,Low,Medium,2,0.011564624769186516,-0.78402394
31,20,Straight,222,red,159.0,35.584415,28.16,-30.72,0.0185,0.9,0.0,11100,2,0.0,0.0,1,-1,,191,195,198,1,1,2,3,7,12,5,0,5,3,0.015706806282722512,0.31413612565445026,1.0,0.0,0.0,5,0,5,2,0.015037593984962405,0.3007518796992481,1.0,0.0,0.0,Low,High,1,0.011564624769186516,-0.68951815
32,21,Straight,286,blue,159.0,51.16883,28.16,-30.72,0.0775,0.1,0.0,14300,2,0.0,0.0,1,-1,,255,259,262,2,2,3,1,3,3,6,0,0,11,0.043137254901960784,0.8627450980392157,0.0,0.0,0.0,6,0,0,7,0.041666666666666664,0.8333333333333334,0.0,0.0,0.0,High,Low,3,0.034582452229360496,0.39077428
33,22,Straight,179,red,128.0,105.402596,-28.16,-25.6,0.0775,0.5,0.0,8950,1,1.0,0.0,0,-1,,159,163,166,1,1,2,3,1,12,4,0,2,4,0.025157232704402517,0.5031446540880503,0.5,0.0,0.0,4,0,2,2,0.01904761904761905,0.38095238095238093,0.5,0.0,0.0,High,Medium,1,0.034582452229360496,-0.72157115
34,23,Straight,226,red,159.0,215.58441,-28.16,25.6,0.0185,0.9,0.0,11300,0,1.0,1.0,0,-1,,217,221,224,1,1,2,3,5,14,5,0,5,5,0.02304147465437788,0.4608294930875576,1.0,0.0,0.0,4,0,4,3,0.018867924528301886,0.37735849056603776,1.0,0.0,0.0,Low,High,1,0.011564624769186516,-0.954448
35,24,Straight,175,blue,97.0,218.54546,28.16,30.72,0.0185,0.1,0.0,8750,0,0.0,1.0,1,-1,,166,170,173,3,3,1,2,8,14,4,0,0,0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,0.0,0.0,0.0,0.0,0.0,Low,Low,3,0.011564624769186516,-1.0
