Timestamp,x,y,r,g,b,vc_bounce,vc_random,cc_bounce,cc_random
0,113.92,78.88,255.0,0.0,0.0,0.0,0.0,0.0,0.0
50,116.736,81.44,255.0,0.0,0.0,0.0,0.0,0.0,0.0
100,119.552,84.0,255.0,0.0,0.0,0.0,0.0,0.0,0.0
150,122.368,86.56,255.0,0.0,0.0,0.0,0.0,0.0,0.0
200,125.184,89.12,255.0,0.0,0.0,0.0,0.0,0.0,0.0
250,128.0,91.68,255.0,0.0,0.0,0.0,0.0,0.0,0.0
300,130.816,94.24,255.0,0.0,0.0,0.0,0.0,0.0,0.0
350,133.632,96.8,255.0,0.0,0.0,0.0,0.0,0.0,0.0
400,136.448,99.36,255.0,0.0,0.0,0.0,0.0,0.0,0.0
450,139.264,101.92,255.0,0.0,0.0,0.0,0.0,0.0,0.0
500,142.08,104.48,255.0,0.0,0.0,0.0,0.0,0.0,0.0
550,144.896,107.04,255.0,0.0,0.0,0.0,0.0,0.0,0.0
600,147.712,109.6,255.0,0.0,0.0,0.0,0.0,0.0,0.0
650,150.528,112.16,255.0,0.0,0.0,0.0,0.0,0.0,0.0
700,153.344,114.72,255.0,0.0,0.0,0.0,0.0,0.0,0.0
750,156.16,117.28,0.0,255.0,0.0,0.0,0.0,0.0,1.0
800,158.976,119.84,0.0,255.0,0.0,0.0,0.0,0.0,0.0
850,161.792,122.4,0.0,255.0,0.0,0.0,0.0,0.0,0.0
900,164.608,124.96,0.0,255.0,0.0,0.0,0.0,0.0,0.0
950,167.424,127.52,0.0,255.0,0.0,0.0,0.0,0.0,0.0
1000,170.24,130.08,0.0,255.0,0.0,0.0,0.0,0.0,0.0
1050,173.056,132.64,0.0,255.0,0.0,0.0,0.0,0.0,0.0
1100,175.872,135.2,0.0,255.0,0.0,0.0,0.0,0.0,0.0
1150,178.688,137.76,0.0,255.0,0.0,0.0,0.0,0.0,0.0
1200,181.504,140.32,0.0,255.0,0.0,0.0,0.0,0.0,0.0
1250,184.32,142.88,0.0,255.0,0.0,0.0,0.0,0.0,0.0
1300,187.136,145.44,0.0,255.0,0.0,0.0,0.0,0.0,0.0
1350,189.952,148.0,0.0,255.0,0.0,0.0,0.0,0.0,0.0
1400,192.768,150.56,0.0,255.0,0.0,0.0,0.0,0.0,0.0
1450,195.584,153.12,0.0,255.0,0.0,0.0,0.0,0.0,0.0
1500,198.4,155.68,0.0,255.0,0.0,0.0,0.0,0.0,0.0
1550,201.216,158.24,0.0,0.0,255.0,0.0,0.0,0.0,1.0
1600,204.032,160.8,0.0,0.0,255.0,0.0,0.0,0.0,0.0
1650,206.848,163.36,0.0,0.0,255.0,0.0,0.0,0.0,0.0
1700,209.664,165.92,0.0,0.0,255.0,0.0,0.0,0.0,0.0
1750,212.48,168.48,0.0,0.0,255.0,0.0,0.0,0.0,0.0
1800,215.296,171.04,0.0,0.0,255.0,0.0,0.0,0.0,0.0
1850,218.112,173.6,0.0,0.0,255.0,0.0,0.0,0.0,0.0
1900,220.928,176.16,0.0,0.0,255.0,0.0,0.0,0.0,0.0
1950,223.744,178.72,0.0,0.0,255.0,0.0,0.0,0.0,0.0
2000,226.56,181.28,0.0,0.0,255.0,0.0,0.0,0.0,0.0
2050,229.376,183.84,0.0,0.0,255.0,0.0,0.0,0.0,0.0
2100,232.192,186.4,0.0,0.0,255.0,0.0,0.0,0.0,0.0
2150,235.008,188.96,0.0,0.0,255.0,0.0,0.0,0.0,0.0
2200,237.824,191.52,0.0,0.0,255.0,0.0,0.0,0.0,0.0
2250,240.64,194.08,0.0,0.0,255.0,0.0,0.0,0.0,0.0
2300,243.456,196.64,0.0,0.0,255.0,0.0,0.0,0.0,0.0
2350,246.272,199.2,0.0,0.0,255.0,0.0,0.0,0.0,0.0
2400,243.456,201.76,255.0,0.0,0.0,1.0,0.0,1.0,0.0
2450,240.64,204.32,255.0,0.0,0.0,0.0,0.0,0.0,0.0
2500,237.824,206.88,255.0,0.0,0.0,0.0,0.0,0.0,0.0
2550,235.008,209.44,255.0,0.0,0.0,0.0,0.0,0.0,0.0
2600,232.192,212.0,255.0,0.0,0.0,0.0,0.0,0.0,0.0
2650,229.376,214.56,255.0,0.0,0.0,0.0,0.0,0.0,0.0
2700,226.56,217.12,255.0,0.0,0.0,0.0,0.0,0.0,0.0
2750,223.744,219.68,255.0,0.0,0.0,0.0,0.0,0.0,0.0
2800,220.928,222.24,255.0,0.0,0.0,0.0,0.0,0.0,0.0
2850,218.112,224.8,255.0,0.0,0.0,0.0,0.0,0.0,0.0
2900,215.296,227.36,255.0,0.0,0.0,0.0,0.0,0.0,0.0
2950,212.48,229.92,255.0,0.0,0.0,0.0,0.0,0.0,0.0
3000,209.664,232.48,255.0,0.0,0.0,0.0,0.0,0.0,0.0
3050,206.848,235.04,255.0,0.0,0.0,0.0,0.0,0.0,0.0
3100,204.032,237.6,255.0,0.0,0.0,0.0,0.0,0.0,0.0
3150,201.216,240.16,255.0,0.0,0.0,0.0,0.0,0.0,0.0
3200,198.4,242.72,255.0,0.0,0.0,0.0,0.0,0.0,0.0
3250,195.584,245.28,255.0,0.0,0.0,0.0,0.0,0.0,0.0
3300,192.768,247.84,255.0,0.0,0.0,0.0,0.0,0.0,0.0
3350,189.952,245.28,0.0,255.0,0.0,1.0,0.0,1.0,0.0
3400,187.136,242.72,0.0,255.0,0.0,0.0,0.0,0.0,0.0
3450,184.32,240.16,0.0,255.0,0.0,0.0,0.0,0.0,0.0
3500,181.504,237.6,0.0,255.0,0.0,0.0,0.0,0.0,0.0
3550,178.688,235.04,0.0,255.0,0.0,0.0,0.0,0.0,0.0
3600,175.872,232.48,0.0,255.0,0.0,0.0,0.0,0.0,0.0
3650,173.056,229.92,0.0,255.0,0.0,0.0,0.0,0.0,0.0
3700,170.24,227.36,0.0,255.0,0.0,0.0,0.0,0.0,0.0
3750,167.424,224.8,0.0,255.0,0.0,0.0,0.0,0.0,0.0
3800,164.608,222.24,0.0,255.0,0.0,0.0,0.0,0.0,0.0
3850,161.792,219.68,0.0,255.0,0.0,0.0,0.0,0.0,0.0
3900,158.976,217.12,0.0,255.0,0.0,0.0,0.0,0.0,0.0
3950,156.16,214.56,0.0,255.0,0.0,0.0,0.0,0.0,0.0
4000,153.344,212.0,0.0,255.0,0.0,0.0,0.0,0.0,0.0
4050,150.528,209.44,0.0,255.0,0.0,0.0,0.0,0.0,0.0
4100,147.712,206.88,0.0,255.0,0.0,0.0,0.0,0.0,0.0
4150,144.896,204.32,0.0,255.0,0.0,0.0,0.0,0.0,0.0
4200,142.08,201.76,0.0,255.0,0.0,0.0,0.0,0.0,0.0
4250,139.264,199.2,0.0,255.0,0.0,0.0,0.0,0.0,0.0
4300,136.448,196.64,0.0,255.0,0.0,0.0,0.0,0.0,0.0
4350,133.632,194.08,0.0,255.0,0.0,0.0,0.0,0.0,0.0
4400,130.816,191.52,0.0,255.0,0.0,0.0,0.0,0.0,0.0
4450,128.0,188.96,0.0,255.0,0.0,0.0,0.0,0.0,0.0
4500,125.184,186.4,0.0,255.0,0.0,0.0,0.0,0.0,0.0
4550,122.368,183.84,0.0,255.0,0.0,0.0,0.0,0.0,0.0
4600,119.552,181.28,0.0,255.0,0.0,0.0,0.0,0.0,0.0
4650,116.736,178.72,0.0,255.0,0.0,0.0,0.0,0.0,0.0
4700,113.92,176.16,0.0,255.0,0.0,0.0,0.0,0.0,0.0
4750,111.104,173.6,0.0,255.0,0.0,0.0,0.0,0.0,0.0
4800,108.288,171.04,0.0,255.0,0.0,0.0,0.0,0.0,0.0
4850,105.472,168.48,0.0,255.0,0.0,0.0,0.0,0.0,0.0
4900,102.656,165.92,0.0,255.0,0.0,0.0,0.0,0.0,0.0
4950,99.84,163.36,0.0,255.0,0.0,0.0,0.0,0.0,0.0
5000,97.024,160.8,0.0,255.0,0.0,0.0,0.0,0.0,0.0
5050,94.208,158.24,0.0,255.0,0.0,0.0,0.0,0.0,0.0
5100,91.392,155.68,0.0,255.0,0.0,0.0,0.0,0.0,0.0
5150,88.576,153.12,0.0,255.0,0.0,0.0,0.0,0.0,0.0
5200,85.76,150.56,0.0,255.0,0.0,0.0,0.0,0.0,0.0
5250,82.944,148.0,0.0,255.0,0.0,0.0,0.0,0.0,0.0
5300,80.128,145.44,0.0,255.0,0.0,0.0,0.0,0.0,0.0
5350,77.312,142.88,0.0,255.0,0.0,0.0,0.0,0.0,0.0
5400,74.496,140.32,0.0,255.0,0.0,0.0,0.0,0.0,0.0
5450,71.68,137.76,0.0,255.0,0.0,0.0,0.0,0.0,0.0
5500,68.864,135.2,0.0,255.0,0.0,0.0,0.0,0.0,0.0
5550,66.048,132.64,0.0,255.0,0.0,0.0,0.0,0.0,0.0
5600,63.232,130.08,0.0,255.0,0.0,0.0,0.0,0.0,0.0
5650,60.416,127.52,0.0,0.0,255.0,0.0,0.0,0.0,1.0
5700,57.6,124.96,0.0,0.0,255.0,0.0,0.0,0.0,0.0
5750,54.784,122.4,0.0,0.0,255.0,0.0,0.0,0.0,0.0
5800,51.968,119.84,0.0,0.0,255.0,0.0,0.0,0.0,0.0
5850,49.152,117.28,0.0,0.0,255.0,0.0,0.0,0.0,0.0
5900,46.336,114.72,0.0,0.0,255.0,0.0,0.0,0.0,0.0
5950,43.52,112.16,0.0,0.0,255.0,0.0,0.0,0.0,0.0
6000,40.704,109.6,0.0,0.0,255.0,0.0,0.0,0.0,0.0
6050,37.888,107.04,0.0,0.0,255.0,0.0,0.0,0.0,0.0
6100,35.072,104.48,0.0,0.0,255.0,0.0,0.0,0.0,0.0
6150,32.256,101.92,0.0,0.0,255.0,0.0,0.0,0.0,0.0
6200,29.44,99.36,0.0,0.0,255.0,0.0,0.0,0.0,0.0
6250,26.624,96.8,0.0,0.0,255.0,0.0,0.0,0.0,0.0
6300,23.808,94.24,0.0,0.0,255.0,0.0,0.0,0.0,0.0
6350,20.992,91.68,0.0,0.0,255.0,0.0,0.0,0.0,0.0
6400,18.176,89.12,0.0,0.0,255.0,0.0,0.0,0.0,0.0
6450,15.36,86.56,0.0,0.0,255.0,0.0,0.0,0.0,0.0
6500,12.544,84.0,0.0,0.0,255.0,0.0,0.0,0.0,0.0
6550,9.728,81.44,0.0,0.0,255.0,0.0,0.0,0.0,0.0
6600,12.544,78.88,255.0,0.0,0.0,1.0,0.0,1.0,0.0
6650,15.36,76.32,255.0,0.0,0.0,0.0,0.0,0.0,0.0
6700,18.176,73.76,255.0,0.0,0.0,0.0,0.0,0.0,0.0
6750,20.992,71.2,255.0,0.0,0.0,0.0,0.0,0.0,0.0
6800,23.808,68.64,0.0,255.0,0.0,0.0,0.0,0.0,1.0
6850,26.624,66.08,0.0,255.0,0.0,0.0,0.0,0.0,0.0
6900,29.44,63.52,0.0,255.0,0.0,0.0,0.0,0.0,0.0
6950,32.256,60.96,0.0,255.0,0.0,0.0,0.0,0.0,0.0
7000,35.072,58.4,0.0,255.0,0.0,0.0,0.0,0.0,0.0
7050,37.888,55.84,0.0,255.0,0.0,0.0,0.0,0.0,0.0
7100,40.704,53.28,0.0,255.0,0.0,0.0,0.0,0.0,0.0
7150,43.52,50.72,0.0,255.0,0.0,0.0,0.0,0.0,0.0
7200,46.336,48.16,0.0,255.0,0.0,0.0,0.0,0.0,0.0
7250,49.152,45.6,0.0,255.0,0.0,0.0,0.0,0.0,0.0
7300,51.968,43.04,0.0,255.0,0.0,0.0,0.0,0.0,0.0
7350,54.784,40.48,0.0,255.0,0.0,0.0,0.0,0.0,0.0
7400,57.6,37.92,0.0,255.0,0.0,0.0,0.0,0.0,0.0
7450,60.416,35.36,0.0,255.0,0.0,0.0,0.0,0.0,0.0
7500,63.232,32.8,0.0,255.0,0.0,0.0,0.0,0.0,0.0
7550,66.048,30.24,0.0,255.0,0.0,0.0,0.0,0.0,0.0
7600,68.864,27.68,0.0,255.0,0.0,0.0,0.0,0.0,0.0
7650,71.68,25.12,0.0,255.0,0.0,0.0,0.0,0.0,0.0
7700,74.496,22.56,0.0,255.0,0.0,0.0,0.0,0.0,0.0
7750,77.312,20.0,0.0,255.0,0.0,0.0,0.0,0.0,0.0
7800,80.128,17.44,0.0,255.0,0.0,0.0,0.0,0.0,0.0
7850,82.944,14.88,0.0,255.0,0.0,0.0,0.0,0.0,0.0
7900,85.76,12.32,0.0,255.0,0.0,0.0,0.0,0.0,0.0
7950,88.576,9.76,0.0,255.0,0.0,0.0,0.0,0.0,0.0
8000,91.392,12.32,0.0,0.0,255.0,1.0,0.0,1.0,0.0
8050,94.208,14.88,0.0,0.0,255.0,0.0,0.0,0.0,0.0
