Video ID,idx_trial,trial,length,Final Color,Final X Position,Final Y Position,Final X Velocity,Final Y Velocity,PCCNVC,PCCOVC,PVC,length_ms,idx_time,side_left_right,side_top_bottom,idx_velocity_y,idx_position,idx_x_position,bounce_x_y,idx_pos_y_bounce,idx_y_position,last_visible_color_idx,last_visible_color,color_entered,color_next,color_after_next,correct_response,Dataset Block,Dataset Block Video,Bounces,Random Bounces,Color Change Bounce,Color Change Random,PCCNVC_effective,PCCOVC_effective,PVC_effective,Bounces observable,Random Bounces observable,Color Change Bounce observable,Color Change Random observable,PCCNVC_effective_observable,PCCOVC_effective_observable,PVC_effective_observable,Hazard Rate,Contingency,cwl
0,0,Catch,150,green,12.5,177.5,-26.880000000000003,-28.8,0.015,0.125,0.075,7500,-1,,,-1,-1,,,,,149,2,2,3,1,2,7,10,2,3,0,1,0.006896551724137931,0.0,0.02027027027027027,0,0,0,0,0.0,0.0,0.0,Low,Low,-0.99310344
1,1,Catch,150,red,182.5,144.5,-26.880000000000003,-24.96,0.05,0.5,0.075,7500,-1,,,-1,-1,,,,,149,1,1,2,3,1,9,12,3,2,3,5,0.034482758620689655,0.6,0.013605442176870748,0,1,1,1,0.029411764705882353,1.0,0.02857142857142857,High,Medium,-0.9655172
2,2,Catch,150,blue,43.0,78.5,-26.880000000000003,-28.8,0.05,0.875,0.075,7500,-1,,,-1,-1,,,,,149,3,3,1,2,3,4,12,2,3,4,4,0.027586206896551724,0.8,0.02027027027027027,0,1,1,3,0.045454545454545456,1.0,0.014925373134328358,High,High,-0.9724138
3,3,Catch,150,red,213.0,111.5,-26.880000000000003,-24.96,0.015,0.125,0.075,7500,-1,,,-1,-1,,,,,149,1,1,2,3,1,4,10,3,2,0,2,0.013793103448275862,0.0,0.013605442176870748,0,1,0,1,0.02631578947368421,0.0,0.02564102564102564,Low,Low,-0.9862069
4,4,Catch,150,blue,73.5,45.5,-26.880000000000003,-28.8,0.015,0.5,0.075,7500,-1,,,-1,-1,,,,,149,3,3,1,2,3,2,7,1,4,3,0,0.0,0.6,0.026845637583892617,0,2,1,0,0.0,0.5,0.0273972602739726,Low,Medium,-1.0
5,5,Catch,150,green,243.5,12.5,-26.880000000000003,-24.96,0.05,0.875,0.075,7500,-1,,,-1,-1,,,,,149,2,2,3,1,2,5,7,3,3,5,3,0.020833333333333332,0.8333333333333334,0.02040816326530612,1,2,3,1,0.020833333333333332,1.0,0.04,High,High,-0.9791667
6,6,Catch,150,green,43.0,210.5,-26.880000000000003,-24.96,0.05,0.125,0.075,7500,-1,,,-1,-1,,,,,149,2,2,3,1,2,5,18,3,1,0,1,0.00684931506849315,0.0,0.006802721088435374,1,0,0,1,0.02127659574468085,0.0,0.0,High,Low,-0.9931507
7,7,Catch,150,blue,213.0,243.5,-26.880000000000003,-28.8,0.015,0.5,0.075,7500,-1,,,-1,-1,,,,,149,3,3,1,2,3,1,13,4,1,1,0,0.0,0.2,0.00684931506849315,0,1,0,0,0.0,0.0,0.02564102564102564,Low,Medium,-1.0
8,8,Catch,150,red,12.5,12.5,-26.880000000000003,-28.8,0.015,0.875,0.075,7500,-1,,,-1,-1,,,,,149,1,1,2,3,1,4,7,3,2,5,2,0.013793103448275862,1.0,0.013605442176870748,1,0,1,1,0.022222222222222223,1.0,0.0,Low,High,-0.9862069
9,9,Catch,150,blue,182.5,78.5,-26.880000000000003,-24.96,0.05,0.125,0.075,7500,-1,,,-1,-1,,,,,149,3,3,1,2,3,5,8,3,1,0,4,0.0273972602739726,0.0,0.006802721088435374,1,1,0,2,0.07692307692307693,0.0,0.037037037037037035,High,Low,-0.9726027
10,10,Catch,150,green,73.5,45.5,-26.880000000000003,-28.8,0.05,0.5,0.075,7500,-1,,,-1,-1,,,,,149,2,2,3,1,2,6,18,2,3,4,3,0.020689655172413793,0.8,0.02027027027027027,0,3,2,1,0.0136986301369863,0.6666666666666666,0.039473684210526314,High,Medium,-0.97931033
11,11,Catch,150,red,243.5,243.5,-26.880000000000003,-24.96,0.015,0.875,0.075,7500,-1,,,-1,-1,,,,,149,1,1,2,3,1,5,9,2,7,5,1,0.0070921985815602835,0.5555555555555556,0.0472972972972973,0,3,2,1,0.0196078431372549,0.6666666666666666,0.05555555555555555,Low,High,-0.9929078
