Timestamp,Color Changed
0,False
43,False
86,False
129,False
172,False
215,False
258,False
301,False
344,False
387,False
430,True
473,False
516,False
559,False
602,False
645,True
688,False
731,False
774,False
817,False
860,False
903,False
946,False
989,False
1032,False
1075,False
1118,False
1161,False
1204,False
1247,False
1290,False
1333,False
1376,False
1419,False
1462,False
1505,False
1548,False
1591,False
1634,False
1677,False
1720,False
1763,False
1806,False
1849,False
1892,False
1935,False
1978,False
2021,False
2064,False
2107,False
2150,False
2193,True
2236,False
2279,False
2322,False
2365,False
2408,False
2451,False
2494,False
2537,False
2580,False
2623,False
2666,False
2709,False
2752,False
2795,False
2838,False
2881,False
2924,False
2967,False
3010,False
3053,False
3096,False
3139,False
3182,False
3225,False
3268,False
3311,False
3354,False
3397,False
3440,False
3483,False
3526,False
3569,True
3612,False
3655,False
3698,False
3741,False
3784,False
3827,False
3870,False
3913,False
3956,False
3999,False
4042,False
4085,False
4128,False
4171,False
4214,True
4257,False
4300,False
4343,False
4386,False
4429,False
4472,False
4515,False
4558,False
4601,False
4644,False
4687,False
4730,False
4773,False
4816,False
4859,False
4902,False
4945,False
4988,True
5031,False
5074,False
5117,False
5160,False
5203,False
5246,False
5289,False
5332,False
5375,False
5418,False
5461,False
5504,False
5547,False
5590,False
5633,True
5676,False
5719,False
5762,False
5805,False
5848,False
5891,False
5934,False
5977,False
6020,False
6063,False
6106,False
6149,False
6192,False
6235,False
6278,False
6321,False
6364,False
6407,False
6450,False
6493,False
6536,False
6579,False
6622,False
6665,False
6708,False
6751,False
6794,False
6837,False
6880,False
6923,False
6966,False
7009,False
7052,False
7095,False
7138,False
7181,False
7224,False
7267,False
7310,True
7353,False
7396,False
7439,False
7482,False
7525,False
7568,False
7611,False
7654,False
7697,False
7740,False
7783,False
7826,False
7869,False
7912,False
7955,False
7998,True
8041,False
8084,False
8127,False
8170,False
8213,False
8256,False
8299,False
8342,False
8385,False
8428,False
8471,False
8514,False
8557,True
8600,False
8643,False
8686,False
8729,False
8772,False
8815,False
8858,False
8901,False
8944,False
8987,False
9030,False
9073,False
9116,False
9159,False
9202,False
9245,True
9288,False
9331,False
9374,False
9417,False
9460,False
9503,False
9546,False
9589,False
9632,False
9675,False
9718,False
9761,False
9804,False
9847,False
9890,True
9933,False
9976,False
10019,False
10062,False
10105,False
10148,False
10191,False
10234,False
10277,False
10320,False
10363,False
10406,False
10449,False
10492,False
10535,False
10578,False
10621,False
10664,False
10707,False
10750,False
10793,False
10836,False
10879,False
10922,True
10965,False
11008,False
11051,False
11094,False
11137,False
11180,False
11223,False
11266,False
11309,False
11352,False
11395,False
11438,False
11481,False
11524,False
11567,False
11610,False
11653,False
11696,False
11739,False
11782,True
11825,False
11868,False
11911,False
11954,False
11997,False
12040,False
12083,False
12126,False
12169,False
12212,False
12255,False
12298,False
12341,False
12384,False
12427,False
12470,False
12513,False
12556,False
12599,False
12642,False
12685,True
12728,False
12771,False
12814,False
12857,False
12900,False
12943,False
12986,False
13029,False
13072,False
13115,False
13158,False
13201,False
13244,False
13287,False
13330,False
13373,False
13416,False
13459,False
13502,False
13545,True
13588,False
13631,False
13674,False
13717,False
13760,False
13803,False
13846,False
13889,False
13932,False
13975,False
14018,False
