Video ID,idx_trial,trial,length,Final Color,Final X Position,Final Y Position,Final X Velocity,Final Y Velocity,PCCNVC,PCCOVC,PVC,length_ms,idx_time,side_left_right,side_top_bottom,idx_velocity_y,idx_position,idx_x_position,last_visible_color_idx,last_visible_color,color_entered,color_next,color_after_next,correct_response,Dataset Block,Dataset Block Video,Bounces,Random Bounces,Color Change Bounce,Color Change Random,PCCNVC_effective,PCCOVC_effective,PVC_effective,Bounces observable,Random Bounces observable,Color Change Bounce observable,Color Change Random observable,PCCNVC_effective_observable,PCCOVC_effective_observable,PVC_effective_observable,Hazard Rate,Contingency,cwl
0,0,Catch,150,blue,43.0,78.5,-28.16,-25.6,0.00975,0.1,0.0,7500,-1,,,-1,-1,,149,3,3,1,2,3,3,10,2,0,0,1,0.006756756756756757,0.0,0.0,0,0,0,1,0.013513513513513514,0.0,0.0,Low,Low,-0.9932432
1,1,Catch,150,green,213.0,210.5,-28.16,-30.72,0.095,0.5,0.0,7500,-1,,,-1,-1,,149,2,2,3,1,2,10,14,3,0,1,5,0.034013605442176874,0.3333333333333333,0.0,0,0,0,3,0.046153846153846156,0.0,0.0,High,Medium,-0.9659864
2,2,Catch,150,red,73.5,144.5,-28.16,-30.72,0.095,0.9,0.0,7500,-1,,,-1,-1,,149,1,1,2,3,1,10,2,4,0,4,3,0.02054794520547945,1.0,0.0,2,0,2,1,0.013888888888888888,1.0,0.0,High,High,-0.9794521
3,3,Catch,150,blue,243.5,45.5,-28.16,-25.6,0.00975,0.1,0.0,7500,-1,,,-1,-1,,149,3,3,1,2,3,4,2,3,0,0,1,0.006802721088435374,0.0,0.0,0,0,0,0,0.0,0.0,0.0,Low,Low,-0.99319726
4,4,Catch,150,red,12.5,177.5,-28.16,-25.6,0.00975,0.5,0.0,7500,-1,,,-1,-1,,149,1,1,2,3,1,2,11,3,0,1,0,0.0,0.3333333333333333,0.0,2,0,1,0,0.0,0.5,0.0,Low,Medium,-1.0
5,5,Catch,150,green,182.5,12.5,-28.16,-30.72,0.095,0.9,0.0,7500,-1,,,-1,-1,,149,2,2,3,1,2,2,2,3,0,3,3,0.02040816326530612,1.0,0.0,1,0,1,1,0.018867924528301886,1.0,0.0,High,High,-0.97959185
6,6,Catch,150,red,73.5,111.5,-28.16,-30.72,0.095,0.1,0.0,7500,-1,,,-1,-1,,149,1,1,2,3,1,2,3,4,0,0,5,0.03424657534246575,0.0,0.0,1,0,0,1,0.0136986301369863,0.0,0.0,High,Low,-0.96575344
7,7,Catch,150,blue,243.5,243.5,-28.16,-25.6,0.00975,0.5,0.0,7500,-1,,,-1,-1,,149,3,3,1,2,3,4,11,3,0,1,1,0.006802721088435374,0.3333333333333333,0.0,0,0,0,1,0.013513513513513514,0.0,0.0,Low,Medium,-0.99319726
8,8,Catch,150,green,12.5,144.5,-28.16,-25.6,0.00975,0.9,0.0,7500,-1,,,-1,-1,,149,2,2,3,1,2,9,10,3,0,3,0,0.0,1.0,0.0,2,0,2,0,0.0,1.0,0.0,Low,High,-1.0
9,9,Catch,150,red,182.5,45.5,-28.16,-30.72,0.095,0.1,0.0,7500,-1,,,-1,-1,,149,1,1,2,3,1,4,6,4,0,1,5,0.03424657534246575,0.25,0.0,2,0,0,2,0.038461538461538464,0.0,0.0,High,Low,-0.96575344
10,10,Catch,150,green,43.0,243.5,-28.16,-25.6,0.095,0.5,0.0,7500,-1,,,-1,-1,,149,2,2,3,1,2,4,15,3,0,2,5,0.034013605442176874,0.6666666666666666,0.0,0,0,0,3,0.04054054054054054,0.0,0.0,High,Medium,-0.9659864
11,0,Straight,180,green,97.0,54.909092,28.16,-30.72,0.00975,0.1,0.0,9000,0,0.0,0.0,1,-1,,178,2,2,3,1,2,8,1,4,0,1,2,0.011363636363636364,0.25,0.0,2,0,1,0,0.0,0.5,0.0,Low,Low,-0.97740185
12,1,Straight,174,blue,128.0,76.93507,-28.16,-25.6,0.095,0.5,0.0,8700,1,1.0,0.0,0,-1,,161,2,2,3,1,3,7,6,4,0,3,3,0.01764705882352941,0.75,0.0,2,0,2,1,0.01282051282051282,1.0,0.0,High,Medium,0.18533811
13,2,Straight,179,red,159.0,236.0,28.16,30.72,0.095,0.9,0.0,8950,2,0.0,1.0,1,-1,,155,3,3,1,2,1,3,2,4,0,3,8,0.045714285714285714,0.75,0.0,0,0,0,3,0.03529411764705882,0.0,0.0,High,High,0.3922643
14,3,Straight,406,red,97.0,236.0,-28.16,30.72,0.00975,0.1,0.0,20300,2,1.0,1.0,1,-1,,382,1,1,2,3,1,6,12,10,0,0,2,0.005050505050505051,0.0,0.0,0,0,0,1,0.0056179775280898875,0.0,0.0,Low,Low,-0.88580847
15,4,Straight,162,green,159.0,174.75325,-28.16,25.6,0.00975,0.5,0.0,8100,0,1.0,1.0,0,-1,,160,2,2,3,1,2,7,10,4,0,1,0,0.0,0.25,0.0,2,0,1,0,0.0,0.5,0.0,Low,Medium,-1.0
16,5,Straight,342,blue,128.0,20.0,28.16,-25.6,0.095,0.9,0.0,17100,1,0.0,0.0,0,-1,,329,3,3,1,2,3,10,9,7,0,7,7,0.020895522388059702,1.0,0.0,2,0,2,2,0.013157894736842105,1.0,0.0,High,High,-0.7620495
17,6,Straight,162,green,128.0,207.53247,-28.16,25.6,0.095,0.1,0.0,8100,1,1.0,1.0,0,-1,,149,1,1,2,3,2,3,12,3,0,1,6,0.03773584905660377,0.3333333333333333,0.0,1,0,0,3,0.04477611940298507,0.0,0.0,High,Low,0.3102184
18,7,Straight,151,blue,97.0,201.09091,-28.16,30.72,0.00975,0.5,0.0,7550,2,1.0,1.0,1,-1,,127,3,3,1,2,3,8,2,4,0,3,0,0.0,0.75,0.0,0,0,0,0,0.0,0.0,0.0,Low,Medium,-1.0
19,8,Straight,298,red,97.0,89.818184,28.16,-30.72,0.00975,0.9,0.0,14900,0,0.0,0.0,1,-1,,296,1,1,2,3,1,8,5,8,0,7,0,0.0,0.875,0.0,0,0,0,0,0.0,0.0,0.0,Low,High,-1.0
20,9,Straight,169,green,159.0,43.376625,28.16,-30.72,0.095,0.1,0.0,8450,2,0.0,0.0,1,-1,,145,3,3,1,2,2,6,6,4,0,1,6,0.03636363636363636,0.25,0.0,0,0,0,2,0.02666666666666667,0.0,0.0,High,Low,0.16289812
21,10,Straight,164,red,159.0,215.58441,-28.16,25.6,0.095,0.5,0.0,8200,0,1.0,1.0,0,-1,,162,1,1,2,3,1,8,6,3,0,2,5,0.031055900621118012,0.6666666666666666,0.0,1,0,1,2,0.028985507246376812,1.0,0.0,High,Medium,-0.93885267
22,11,Straight,244,blue,128.0,91.16883,28.16,-25.6,0.00975,0.9,0.0,12200,1,0.0,0.0,0,-1,,231,3,3,1,2,3,2,10,5,0,5,1,0.0041841004184100415,1.0,0.0,1,0,1,0,0.0,1.0,0.0,Low,High,-0.9469716
23,12,Straight,379,blue,128.0,193.2987,28.16,25.6,0.00975,0.1,0.0,18950,1,0.0,1.0,0,-1,,366,3,3,1,2,3,4,4,9,0,1,2,0.005405405405405406,0.1111111111111111,0.0,4,0,0,2,0.012269938650306749,0.0,0.0,Low,Low,-0.932007
24,13,Straight,321,green,159.0,228.2078,-28.16,30.72,0.095,0.5,0.0,16050,0,1.0,1.0,1,-1,,319,2,2,3,1,2,3,13,8,0,5,10,0.03194888178913738,0.625,0.0,3,0,2,3,0.023076923076923078,0.6666666666666666,0.0,High,Medium,-0.93712294
25,14,Straight,367,red,97.0,72.36364,-28.16,-30.72,0.095,0.9,0.0,18350,2,1.0,0.0,1,-1,,343,3,3,1,2,1,8,14,8,0,8,11,0.03064066852367688,1.0,0.0,0,0,0,4,0.02247191011235955,0.0,0.0,High,High,0.3644992
26,15,Straight,182,blue,159.0,40.415585,28.16,-25.6,0.00975,0.1,0.0,9100,2,0.0,0.0,0,-1,,158,3,3,1,2,3,3,4,4,0,0,3,0.016853932584269662,0.0,0.0,2,0,0,0,0.0,0.0,0.0,Low,Low,-0.67180085
27,16,Straight,175,red,128.0,236.0,28.16,30.72,0.00975,0.5,0.0,8750,1,0.0,1.0,1,-1,,162,1,1,2,3,1,3,6,4,0,2,3,0.017543859649122806,0.5,0.0,2,0,2,0,0.0,1.0,0.0,Low,Medium,-0.7957524
28,17,Straight,284,green,159.0,81.24675,-28.16,-25.6,0.095,0.9,0.0,14200,0,1.0,0.0,0,-1,,282,2,2,3,1,2,4,13,7,0,7,6,0.021660649819494584,1.0,0.0,3,0,3,2,0.017241379310344827,1.0,0.0,High,High,-0.9571479
29,18,Straight,186,green,97.0,144.7013,-28.16,25.6,0.095,0.1,0.0,9300,2,1.0,1.0,0,-1,,162,1,1,2,3,2,6,4,3,0,1,7,0.03825136612021858,0.3333333333333333,0.0,0,0,0,4,0.043478260869565216,0.0,0.0,High,Low,0.3847962
30,19,Straight,163,blue,159.0,66.75325,-28.16,-30.72,0.00975,0.5,0.0,8150,0,1.0,0.0,1,-1,,161,3,3,1,2,3,3,16,4,0,2,1,0.006289308176100629,0.5,0.0,1,0,0,1,0.014705882352941176,0.0,0.0,Low,Medium,-0.9874609
31,20,Straight,320,red,128.0,193.2987,-28.16,25.6,0.00975,0.9,0.0,16000,1,1.0,1.0,0,-1,,307,1,1,2,3,1,3,9,7,0,6,1,0.003194888178913738,0.8571428571428571,0.0,3,0,3,0,0.0,1.0,0.0,Low,High,-0.95926243
32,21,Straight,242,red,159.0,189.24675,28.16,30.72,0.095,0.1,0.0,12100,2,0.0,1.0,1,-1,,218,2,2,3,1,1,4,8,5,0,1,9,0.0379746835443038,0.2,0.0,0,0,0,3,0.028846153846153848,0.0,0.0,High,Low,0.17143483
33,22,Straight,153,green,128.0,76.93507,28.16,-25.6,0.095,0.5,0.0,7650,1,0.0,0.0,0,-1,,140,2,2,3,1,2,8,7,3,0,0,6,0.04,0.0,0.0,1,0,0,2,0.034482758620689655,0.0,0.0,High,Medium,-0.6003758
34,23,Straight,166,blue,97.0,37.454544,28.16,-30.72,0.00975,0.9,0.0,8300,0,0.0,0.0,1,-1,,164,3,3,1,2,3,8,4,4,0,3,0,0.0,0.75,0.0,2,0,2,0,0.0,1.0,0.0,Low,High,-1.0
35,24,Straight,173,blue,159.0,236.0,-28.16,30.72,0.00975,0.1,0.0,8650,0,1.0,1.0,1,-1,,171,3,3,1,2,3,1,3,4,0,1,2,0.011834319526627219,0.25,0.0,2,0,0,0,0.0,0.0,0.0,Low,Low,-0.9764714
36,25,Straight,229,red,128.0,164.83116,-28.16,25.6,0.095,0.5,0.0,11450,1,1.0,1.0,0,-1,,216,1,1,2,3,1,9,2,5,0,4,5,0.022321428571428572,0.8,0.0,1,0,0,1,0.010869565217391304,0.0,0.0,High,Medium,-0.74821264
37,26,Straight,176,green,97.0,54.909092,-28.16,-30.72,0.095,0.9,0.0,8800,2,1.0,0.0,1,-1,,152,1,1,2,3,2,1,4,4,0,3,6,0.03488372093023256,0.75,0.0,0,0,0,2,0.024390243902439025,0.0,0.0,High,High,0.37771618
38,27,Straight,210,red,97.0,37.454544,28.16,-30.72,0.00975,0.1,0.0,10500,0,0.0,0.0,1,-1,,208,1,1,2,3,1,5,2,5,0,1,1,0.004878048780487805,0.2,0.0,2,0,0,0,0.0,0.0,0.0,Low,Low,-0.9902677
39,28,Straight,189,green,128.0,119.63636,28.16,-25.6,0.00975,0.5,0.0,9450,1,0.0,0.0,0,-1,,176,1,1,2,3,2,2,8,4,0,0,3,0.016216216216216217,0.0,0.0,0,0,0,1,0.010752688172043012,0.0,0.0,Low,Medium,0.17329888
40,29,Straight,397,blue,159.0,215.58441,28.16,25.6,0.095,0.9,0.0,19850,2,0.0,1.0,0,-1,,373,2,2,3,1,3,5,5,9,0,7,13,0.03350515463917526,0.7777777777777778,0.0,4,0,3,5,0.028735632183908046,0.75,0.0,High,High,0.37399077
41,30,Straight,157,blue,97.0,111.2987,-28.16,-25.6,0.095,0.1,0.0,7850,2,1.0,0.0,0,-1,,133,3,3,1,2,3,7,3,3,0,0,4,0.025974025974025976,0.0,0.0,0,0,0,1,0.014925373134328358,0.0,0.0,High,Low,-0.55216634
42,31,Straight,207,green,128.0,179.06494,-28.16,25.6,0.00975,0.5,0.0,10350,1,1.0,1.0,0,-1,,194,2,2,3,1,2,2,6,4,0,2,0,0.0,0.5,0.0,2,0,2,0,0.0,1.0,0.0,Low,Medium,-1.0
43,32,Straight,198,red,97.0,166.18182,28.16,30.72,0.00975,0.9,0.0,9900,0,0.0,1.0,1,-1,,196,1,1,2,3,1,10,12,4,0,4,1,0.005154639175257732,1.0,0.0,0,0,0,0,0.0,0.0,0.0,Low,High,-0.9897173
44,33,Straight,210,green,159.0,35.584415,28.16,-30.72,0.095,0.1,0.0,10500,2,0.0,0.0,1,-1,,186,1,1,2,3,2,8,13,4,0,1,8,0.038834951456310676,0.25,0.0,0,0,0,4,0.038461538461538464,0.0,0.0,High,Low,0.38575804
45,34,Straight,317,blue,97.0,181.22078,28.16,25.6,0.095,0.5,0.0,15850,0,0.0,1.0,0,-1,,315,3,3,1,2,3,7,14,7,0,4,10,0.03225806451612903,0.5714285714285714,0.0,3,0,2,3,0.023809523809523808,0.6666666666666666,0.0,High,Medium,-0.93652445
46,35,Straight,190,red,128.0,57.87013,-28.16,-30.72,0.00975,0.9,0.0,9500,1,1.0,0.0,1,-1,,177,1,1,2,3,1,10,15,4,0,2,1,0.005376344086021506,0.5,0.0,0,0,0,1,0.010752688172043012,0.0,0.0,Low,High,-0.9323604
47,36,Straight,211,blue,159.0,220.41559,28.16,30.72,0.00975,0.1,0.0,10550,2,0.0,1.0,1,-1,,187,3,3,1,2,3,9,15,4,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,Low,Low,-1.0
48,37,Straight,272,red,128.0,105.402596,-28.16,-25.6,0.095,0.5,0.0,13600,1,1.0,0.0,0,-1,,259,3,3,1,2,1,9,9,6,0,4,9,0.03383458646616541,0.6666666666666666,0.0,1,0,0,4,0.031007751937984496,0.0,0.0,High,Medium,0.29170695
49,38,Straight,199,green,97.0,126.44156,28.16,25.6,0.095,0.9,0.0,9950,0,0.0,1.0,0,-1,,197,2,2,3,1,2,2,9,5,0,5,7,0.03608247422680412,1.0,0.0,0,0,0,2,0.024390243902439025,0.0,0.0,High,High,-0.929137
50,39,Straight,181,green,128.0,70.49351,-28.16,-30.72,0.00975,0.1,0.0,9050,1,1.0,0.0,1,-1,,168,2,2,3,1,2,4,5,4,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,Low,Low,-1.0
51,40,Straight,190,blue,97.0,111.2987,28.16,-25.6,0.00975,0.5,0.0,9500,0,0.0,0.0,0,-1,,188,3,3,1,2,3,5,3,4,0,1,3,0.016129032258064516,0.25,0.0,1,0,1,1,0.012345679012345678,1.0,0.0,Low,Medium,-0.9680021
52,41,Straight,208,red,97.0,131.27272,-28.16,30.72,0.095,0.9,0.0,10400,2,1.0,1.0,1,-1,,184,2,2,3,1,1,3,5,5,0,5,6,0.029556650246305417,1.0,0.0,1,0,1,4,0.038834951456310676,1.0,0.0,High,High,0.12515552
53,42,Straight,183,red,128.0,83.11688,-28.16,-30.72,0.095,0.1,0.0,9150,1,1.0,0.0,1,-1,,170,3,3,1,2,1,9,4,4,0,1,5,0.027932960893854747,0.25,0.0,0,0,0,2,0.02247191011235955,0.0,0.0,High,Low,0.2588102
54,43,Straight,252,blue,97.0,162.96104,28.16,25.6,0.00975,0.5,0.0,12600,0,0.0,1.0,0,-1,,250,3,3,1,2,3,1,11,6,0,3,2,0.008130081300813009,0.5,0.0,3,0,0,2,0.018518518518518517,0.0,0.0,Low,Medium,-0.98380595
55,44,Straight,204,green,97.0,124.72727,-28.16,-30.72,0.00975,0.9,0.0,10200,2,1.0,0.0,1,-1,,180,2,2,3,1,2,1,6,5,0,5,0,0.0,1.0,0.0,1,0,1,0,0.0,1.0,0.0,Low,High,-1.0
