,idx,trial,idx_position,side_left_right,side_top_bottom,idx_velocity_y,length,Block,Final Color,Final X Position,Final Y Position,Final X Velocity,Final Y Velocity,PCCNVC,PCCOVC,PVC,Dir Base,Dir Block,Dir Video,Path Video,Path Color Changes,Path Parameters,idx_time
0,45,bounce,3.0,0.0,0.0,1.0,208,1,red,128.0,20.666666,27.306666666666665,34.13333333333333,0.045,0.1,0.0,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_182701,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_182701/videos/block_1,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_182701/videos/block_1/video_1,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_182701/videos/block_1/video_1/video_1_red.mp4,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_182701/videos/block_1/video_1/video_1_color_change.csv,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_182701/videos/block_1/video_1/video_1_parameters.csv,
1,97,straight,,1.0,0.0,1.0,256,1,blue,128.0,91.18222,-27.306666666666665,-34.13333333333333,0.045,0.5,0.0,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_182701,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_182701/videos/block_1,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_182701/videos/block_1/video_2,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_182701/videos/block_1/video_2/video_2_blue.mp4,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_182701/videos/block_1/video_2/video_2_color_change.csv,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_182701/videos/block_1/video_2/video_2_parameters.csv,2.0
2,110,bounce,12.0,0.0,0.0,0.0,271,1,blue,149.33333,40.4,27.306666666666665,20.48,0.01,0.9,0.0,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_182701,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_182701/videos/block_1,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_182701/videos/block_1/video_3,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_182701/videos/block_1/video_3/video_3_blue.mp4,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_182701/videos/block_1/video_3/video_3_color_change.csv,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_182701/videos/block_1/video_3/video_3_parameters.csv,
3,39,bounce,11.0,1.0,1.0,1.0,237,1,green,106.666664,208.66667,-27.306666666666665,-34.13333333333333,0.045,0.1,0.0,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_182701,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_182701/videos/block_1,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_182701/videos/block_1/video_4,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_182701/videos/block_1/video_4/video_4_green.mp4,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_182701/videos/block_1/video_4/video_4_color_change.csv,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_182701/videos/block_1/video_4/video_4_parameters.csv,
4,3,bounce,3.0,0.0,1.0,1.0,196,1,green,128.0,235.33333,27.306666666666665,-34.13333333333333,0.045,0.1,0.0,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_182701,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_182701/videos/block_1,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_182701/videos/block_1/video_5,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_182701/videos/block_1/video_5/video_5_green.mp4,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_182701/videos/block_1/video_5/video_5_color_change.csv,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_182701/videos/block_1/video_5/video_5_parameters.csv,
5,113,bounce,0.0,1.0,0.0,0.0,187,1,red,149.33333,16.4,-27.306666666666665,20.48,0.045,0.9,0.0,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_182701,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_182701/videos/block_1,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_182701/videos/block_1/video_6,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_182701/videos/block_1/video_6/video_6_red.mp4,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_182701/videos/block_1/video_6/video_6_color_change.csv,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_182701/videos/block_1/video_6/video_6_parameters.csv,
6,40,straight,,1.0,1.0,1.0,191,1,red,149.33333,176.13629,-27.306666666666665,34.13333333333333,0.01,0.5,0.0,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_182701,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_182701/videos/block_1,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_182701/videos/block_1/video_7,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_182701/videos/block_1/video_7/video_7_red.mp4,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_182701/videos/block_1/video_7/video_7_color_change.csv,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_182701/videos/block_1/video_7/video_7_parameters.csv,0.0
7,23,straight,,1.0,1.0,1.0,196,1,green,117.333336,189.09038,-27.306666666666665,34.13333333333333,0.01,0.9,0.0,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_182701,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_182701/videos/block_1,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_182701/videos/block_1/video_8,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_182701/videos/block_1/video_8/video_8_green.mp4,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_182701/videos/block_1/video_8/video_8_color_change.csv,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_182701/videos/block_1/video_8/video_8_parameters.csv,3.0
8,5,catch,,,,,186,1,green,170.0,164.0,-27.306666666666665,-20.48,0.045,0.9,0.0,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_182701,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_182701/videos/block_1,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_182701/videos/block_1/video_9,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_182701/videos/block_1/video_9/video_9_green.mp4,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_182701/videos/block_1/video_9/video_9_color_change.csv,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_182701/videos/block_1/video_9/video_9_parameters.csv,
9,106,straight,,0.0,0.0,0.0,253,1,blue,117.333336,154.01837,27.306666666666665,-20.48,0.045,0.5,0.0,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_182701,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_182701/videos/block_1,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_182701/videos/block_1/video_10,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_182701/videos/block_1/video_10/video_10_blue.mp4,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_182701/videos/block_1/video_10/video_10_color_change.csv,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_182701/videos/block_1/video_10/video_10_parameters.csv,1.0
