Timestamp,x,y,r,g,b,vc_bounce,vc_random,cc_bounce,cc_random
0,228.712,190.70245,0.0,0.0,255.0,0.0,0.0,0.0,0.0
50,226.024,187.82245,0.0,0.0,255.0,0.0,0.0,0.0,0.0
100,223.336,184.94244,0.0,0.0,255.0,0.0,0.0,0.0,0.0
150,220.648,182.06245,0.0,0.0,255.0,0.0,0.0,0.0,0.0
200,217.96,179.18245,0.0,0.0,255.0,0.0,0.0,0.0,0.0
250,215.272,176.30244,0.0,0.0,255.0,0.0,0.0,0.0,0.0
300,212.584,173.42245,0.0,0.0,255.0,0.0,0.0,0.0,0.0
350,209.896,170.54245,255.0,0.0,0.0,0.0,0.0,0.0,1.0
400,207.208,167.66245,255.0,0.0,0.0,0.0,0.0,0.0,0.0
450,204.52,164.78246,255.0,0.0,0.0,0.0,0.0,0.0,0.0
500,201.832,161.90245,255.0,0.0,0.0,0.0,0.0,0.0,0.0
550,199.144,159.02245,255.0,0.0,0.0,0.0,0.0,0.0,0.0
600,196.456,156.14246,255.0,0.0,0.0,0.0,0.0,0.0,0.0
650,193.768,153.26245,255.0,0.0,0.0,0.0,0.0,0.0,0.0
700,191.08,150.38245,255.0,0.0,0.0,0.0,0.0,0.0,0.0
750,188.392,147.50244,255.0,0.0,0.0,0.0,0.0,0.0,0.0
800,185.704,144.62245,255.0,0.0,0.0,0.0,0.0,0.0,0.0
850,183.016,141.74245,255.0,0.0,0.0,0.0,0.0,0.0,0.0
900,180.328,138.86244,255.0,0.0,0.0,0.0,0.0,0.0,0.0
950,177.64,135.98245,255.0,0.0,0.0,0.0,0.0,0.0,0.0
1000,174.952,133.10245,255.0,0.0,0.0,0.0,0.0,0.0,0.0
1050,172.264,130.22244,255.0,0.0,0.0,0.0,0.0,0.0,0.0
1100,169.576,127.342445,255.0,0.0,0.0,0.0,0.0,0.0,0.0
1150,166.888,124.46245,255.0,0.0,0.0,0.0,0.0,0.0,0.0
1200,164.2,121.58245,255.0,0.0,0.0,0.0,0.0,0.0,0.0
1250,161.512,118.702446,255.0,0.0,0.0,0.0,0.0,0.0,0.0
1300,158.824,121.58245,255.0,0.0,0.0,0.0,1.0,0.0,0.0
1350,156.136,124.46245,255.0,0.0,0.0,0.0,0.0,0.0,0.0
1400,153.448,127.342445,255.0,0.0,0.0,0.0,0.0,0.0,0.0
1450,150.76,130.22244,255.0,0.0,0.0,0.0,0.0,0.0,0.0
1500,148.072,133.10245,255.0,0.0,0.0,0.0,0.0,0.0,0.0
1550,145.384,135.98245,255.0,0.0,0.0,0.0,0.0,0.0,0.0
1600,142.696,138.86244,255.0,0.0,0.0,0.0,0.0,0.0,0.0
1650,140.008,141.74245,255.0,0.0,0.0,0.0,0.0,0.0,0.0
1700,137.32,144.62245,255.0,0.0,0.0,0.0,0.0,0.0,0.0
1750,134.632,147.50244,255.0,0.0,0.0,0.0,0.0,0.0,0.0
1800,131.944,150.38245,255.0,0.0,0.0,0.0,0.0,0.0,0.0
