Timestamp,x,y,r,g,b
0,30.208,109.44592,0.0,255.0,0.0
35,32.938667,106.03259,0.0,255.0,0.0
70,35.669334,102.61926,0.0,0.0,255.0
105,38.4,99.205925,0.0,0.0,255.0
140,41.130665,95.792595,0.0,0.0,255.0
175,43.861332,92.37926,0.0,0.0,255.0
210,46.592,88.96593,0.0,0.0,255.0
245,49.322666,85.55259,0.0,0.0,255.0
280,52.053333,82.13926,0.0,0.0,255.0
315,54.784,78.72593,0.0,0.0,255.0
350,57.514668,75.31259,0.0,0.0,255.0
385,60.245335,71.89926,0.0,0.0,255.0
420,62.976,68.48592,0.0,0.0,255.0
455,65.706665,65.07259,0.0,0.0,255.0
490,68.43733,61.65926,0.0,0.0,255.0
525,71.168,58.245926,0.0,0.0,255.0
560,73.89867,54.832592,0.0,0.0,255.0
595,76.62933,51.41926,0.0,0.0,255.0
630,79.36,48.005924,0.0,0.0,255.0
665,82.09067,44.592594,0.0,0.0,255.0
700,84.821335,41.17926,0.0,0.0,255.0
735,87.552,37.765926,0.0,0.0,255.0
770,90.28267,34.352592,0.0,0.0,255.0
805,93.013336,30.939259,0.0,0.0,255.0
840,95.744,27.525927,0.0,0.0,255.0
875,98.47467,24.112593,0.0,0.0,255.0
910,101.20533,20.699259,0.0,0.0,255.0
945,103.936,17.285927,0.0,0.0,255.0
980,106.666664,13.872593,0.0,0.0,255.0
1015,109.39733,10.459259,255.0,0.0,0.0
1050,112.128,7.045926,255.0,0.0,0.0
1085,114.858665,10.459259,255.0,0.0,0.0
1120,117.58933,13.872593,255.0,0.0,0.0
1155,120.32,17.285927,255.0,0.0,0.0
1190,123.05067,20.699259,255.0,0.0,0.0
1225,125.781334,24.112593,255.0,0.0,0.0
1260,128.512,27.525927,255.0,0.0,0.0
1295,131.24266,30.939259,255.0,0.0,0.0
1330,133.97333,34.352592,255.0,0.0,0.0
1365,136.704,37.765926,255.0,0.0,0.0
1400,139.43466,41.17926,255.0,0.0,0.0
1435,142.16533,44.592594,255.0,0.0,0.0
1470,144.896,48.005924,255.0,0.0,0.0
1505,147.62666,51.41926,255.0,0.0,0.0
1540,150.35733,54.832592,255.0,0.0,0.0
1575,153.088,58.245926,255.0,0.0,0.0
1610,155.81866,61.65926,255.0,0.0,0.0
1645,158.54933,65.07259,255.0,0.0,0.0
1680,161.28,68.48592,255.0,0.0,0.0
1715,164.01067,71.89926,255.0,0.0,0.0
1750,166.74133,75.31259,255.0,0.0,0.0
1785,169.472,78.72593,255.0,0.0,0.0
1820,172.20267,82.13926,255.0,0.0,0.0
1855,174.93333,85.55259,255.0,0.0,0.0
1890,177.664,88.96593,255.0,0.0,0.0
1925,180.39467,92.37926,255.0,0.0,0.0
1960,183.12534,95.792595,255.0,0.0,0.0
1995,185.856,99.205925,255.0,0.0,0.0
2030,188.58667,102.61926,255.0,0.0,0.0
2065,191.31734,106.03259,255.0,0.0,0.0
2100,194.048,109.44592,255.0,0.0,0.0
2135,196.77867,112.85926,255.0,0.0,0.0
2170,199.50934,116.27259,255.0,0.0,0.0
2205,202.24,119.68593,255.0,0.0,0.0
2240,204.97067,123.09926,255.0,0.0,0.0
2275,207.70134,126.512596,255.0,0.0,0.0
2310,210.432,129.92592,255.0,0.0,0.0
2345,213.16267,133.33926,255.0,0.0,0.0
2380,215.89333,136.7526,255.0,0.0,0.0
2415,218.624,140.16592,255.0,0.0,0.0
2450,221.35466,143.57925,255.0,0.0,0.0
2485,224.08533,146.9926,255.0,0.0,0.0
2520,226.816,150.40593,255.0,0.0,0.0
2555,229.54666,153.81926,255.0,0.0,0.0
2590,232.27733,157.23259,255.0,0.0,0.0
2625,235.008,160.64592,255.0,0.0,0.0
2660,237.73866,164.05927,255.0,0.0,0.0
2695,240.46933,167.4726,255.0,0.0,0.0
2730,243.2,170.88593,255.0,0.0,0.0
2765,245.93066,174.29926,255.0,0.0,0.0
2800,248.66133,177.71259,255.0,0.0,0.0
2835,245.93066,181.12593,255.0,0.0,0.0
2870,243.2,184.53926,255.0,0.0,0.0
2905,240.46933,187.95259,255.0,0.0,0.0
2940,237.73866,191.36592,255.0,0.0,0.0
2975,235.008,194.77927,255.0,0.0,0.0
3010,232.27733,198.1926,255.0,0.0,0.0
3045,229.54666,201.60593,255.0,0.0,0.0
3080,226.816,205.01926,255.0,0.0,0.0
3115,224.08533,208.43259,255.0,0.0,0.0
3150,221.35466,211.84593,255.0,0.0,0.0
3185,218.624,215.25926,255.0,0.0,0.0
3220,215.89333,218.67259,255.0,0.0,0.0
3255,213.16267,222.08592,255.0,0.0,0.0
3290,210.432,225.49925,255.0,0.0,0.0
3325,207.70134,228.9126,255.0,0.0,0.0
3360,204.97067,232.32593,255.0,0.0,0.0
3395,202.24,235.73926,255.0,0.0,0.0
3430,199.50934,239.15259,255.0,0.0,0.0
3465,196.77867,242.56593,255.0,0.0,0.0
3500,194.048,245.97926,255.0,0.0,0.0
3535,191.31734,249.3926,255.0,0.0,0.0
3570,188.58667,245.97926,255.0,0.0,0.0
3605,185.856,242.56593,255.0,0.0,0.0
3640,183.12534,239.15259,255.0,0.0,0.0
3675,180.39467,235.73926,255.0,0.0,0.0
3710,177.664,232.32593,255.0,0.0,0.0
3745,174.93333,228.9126,255.0,0.0,0.0
3780,172.20267,225.49925,255.0,0.0,0.0
3815,169.472,222.08592,255.0,0.0,0.0
3850,166.74133,218.67259,255.0,0.0,0.0
3885,164.01067,215.25926,255.0,0.0,0.0
3920,161.28,211.84593,255.0,0.0,0.0
3955,158.54933,208.43259,255.0,0.0,0.0
3990,155.81866,205.01926,255.0,0.0,0.0
4025,153.088,201.60593,255.0,0.0,0.0
4060,150.35733,198.1926,255.0,0.0,0.0
4095,147.62666,194.77927,255.0,0.0,0.0
4130,144.896,191.36592,255.0,0.0,0.0
4165,142.16533,187.95259,255.0,0.0,0.0
4200,139.43466,184.53926,255.0,0.0,0.0
4235,136.704,181.12593,255.0,0.0,0.0
4270,133.97333,177.71259,255.0,0.0,0.0
4305,131.24266,174.29926,255.0,0.0,0.0
4340,128.512,170.88593,255.0,0.0,0.0
4375,125.781334,167.4726,255.0,0.0,0.0
4410,123.05067,164.05927,255.0,0.0,0.0
4445,120.32,160.64592,255.0,0.0,0.0
4480,117.58933,157.23259,255.0,0.0,0.0
4515,114.858665,153.81926,255.0,0.0,0.0
4550,112.128,150.40593,255.0,0.0,0.0
4585,109.39733,146.9926,255.0,0.0,0.0
4620,106.666664,143.57925,255.0,0.0,0.0
4655,103.936,140.16592,255.0,0.0,0.0
4690,101.20533,136.7526,255.0,0.0,0.0
4725,98.47467,133.33926,255.0,0.0,0.0
4760,95.744,129.92592,255.0,0.0,0.0
4795,93.013336,126.512596,255.0,0.0,0.0
4830,90.28267,123.09926,0.0,255.0,0.0
4865,87.552,119.68593,0.0,255.0,0.0
4900,84.821335,116.27259,0.0,255.0,0.0
4935,82.09067,112.85926,0.0,255.0,0.0
4970,79.36,109.44592,0.0,255.0,0.0
5005,76.62933,106.03259,0.0,255.0,0.0
5040,73.89867,102.61926,0.0,255.0,0.0
5075,71.168,99.205925,0.0,255.0,0.0
5110,68.43733,95.792595,0.0,255.0,0.0
5145,65.706665,92.37926,0.0,255.0,0.0
5180,62.976,88.96593,0.0,255.0,0.0
5215,60.245335,85.55259,0.0,255.0,0.0
