Video ID,idx_trial,trial,length,Final Color,Final X Position,Final Y Position,Final X Velocity,Final Y Velocity,PCCNVC,PCCOVC,PVC,length_ms,idx_time,side_left_right,side_top_bottom,idx_velocity_y,idx_position,idx_x_position,last_visible_color_idx,last_visible_color_idx_cent,last_visible_color_idx_inner,last_visible_color,color_entered,color_next,color_after_next,Dataset Block,Dataset Block Video,Bounces,Random Bounces,Color Change Bounce,Color Change Random,PCCNVC_effective,PCCNVC_effective_ps,PCCOVC_effective,PVC_effective,PVC_effective_ps,Bounces observable,Random Bounces observable,Color Change Bounce observable,Color Change Random observable,PCCNVC_effective_observable,PCCNVC_effective_observable_ps,PCCOVC_effective_observable,PVC_effective_observable,PVC_effective_observable_ps,Hazard Rate,Contingency,correct_response,PCCNVC_adjusted,cwl
0,0,Catch,150,green,43.0,144.5,-28.16,-25.6,0.00875,0.05,0.0,7500,-1,,,-1,-1,,149,149,149,2,2,3,1,9,17,3,0,0,0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,0.0,0.0,0.0,0.0,0.0,Low,Low,2,0.005331456265398958,-1.0
1,1,Catch,150,blue,213.0,243.5,-28.16,-30.72,0.15,0.49999999999999994,0.0,7500,-1,,,-1,-1,,149,149,149,3,3,1,2,4,11,3,0,0,6,0.040268456375838924,0.8053691275167785,0.0,0.0,0.0,3,0,0,4,0.0425531914893617,0.851063829787234,0.0,0.0,0.0,High,Medium,3,0.037610398930572435,-0.9597315
2,2,Catch,150,red,12.5,210.5,-28.16,-30.72,0.15,0.95,0.0,7500,-1,,,-1,-1,,149,149,149,1,1,2,3,4,12,3,0,2,5,0.03355704697986577,0.6711409395973155,0.6666666666666666,0.0,0.0,3,0,2,3,0.03296703296703297,0.6593406593406593,0.6666666666666666,0.0,0.0,High,High,1,0.037610398930572435,-0.96644294
3,3,Catch,150,green,182.5,111.5,-28.16,-25.6,0.00875,0.05,0.0,7500,-1,,,-1,-1,,149,149,149,2,2,3,1,4,14,4,0,0,0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,0.0,0.0,0.0,0.0,0.0,Low,Low,2,0.005331456265398958,-1.0
4,4,Catch,150,red,73.5,45.5,-28.16,-30.72,0.00875,0.49999999999999994,0.0,7500,-1,,,-1,-1,,149,149,149,1,1,2,3,7,5,4,0,2,3,0.020134228187919462,0.40268456375838924,0.5,0.0,0.0,4,0,2,2,0.02247191011235955,0.449438202247191,0.5,0.0,0.0,Low,Medium,1,0.005331456265398958,-0.9798658
5,5,Catch,150,blue,243.5,177.5,-28.16,-25.6,0.15,0.95,0.0,7500,-1,,,-1,-1,,149,149,149,3,3,1,2,5,1,3,0,3,5,0.03355704697986577,0.6711409395973155,1.0,0.0,0.0,2,0,2,3,0.03296703296703297,0.6593406593406593,1.0,0.0,0.0,High,High,3,0.037610398930572435,-0.96644294
6,6,Catch,150,green,12.5,78.5,-28.16,-25.6,0.15,0.05,0.0,7500,-1,,,-1,-1,,149,149,149,2,2,3,1,7,7,2,0,0,5,0.03355704697986577,0.6711409395973155,0.0,0.0,0.0,2,0,0,2,0.02197802197802198,0.43956043956043955,0.0,0.0,0.0,High,Low,2,0.037610398930572435,-0.96644294
7,7,Catch,150,blue,182.5,12.5,-28.16,-30.72,0.00875,0.49999999999999994,0.0,7500,-1,,,-1,-1,,149,149,149,3,3,1,2,8,5,3,0,2,0,0.0,0.0,0.6666666666666666,0.0,0.0,2,0,2,0,0.0,0.0,1.0,0.0,0.0,Low,Medium,3,0.005331456265398958,-1.0
8,8,Catch,150,red,73.5,177.5,-28.16,-30.72,0.00875,0.95,0.0,7500,-1,,,-1,-1,,149,149,149,1,1,2,3,4,13,4,0,3,2,0.013422818791946308,0.2684563758389262,0.75,0.0,0.0,2,0,2,1,0.011235955056179775,0.2247191011235955,1.0,0.0,0.0,Low,High,1,0.005331456265398958,-0.98657715
9,9,Catch,150,green,243.5,78.5,-28.16,-25.6,0.15,0.05,0.0,7500,-1,,,-1,-1,,149,149,149,2,2,3,1,6,16,2,0,0,7,0.04697986577181208,0.9395973154362416,0.0,0.0,0.0,2,0,0,5,0.054945054945054944,1.098901098901099,0.0,0.0,0.0,High,Low,2,0.037610398930572435,-0.95302016
10,10,Catch,150,blue,43.0,111.5,-28.16,-30.72,0.15,0.49999999999999994,0.0,7500,-1,,,-1,-1,,149,149,149,3,3,1,2,8,17,3,0,0,6,0.040268456375838924,0.8053691275167785,0.0,0.0,0.0,1,0,0,3,0.033707865168539325,0.6741573033707865,0.0,0.0,0.0,High,Medium,3,0.037610398930572435,-0.9597315
11,0,Straight,206,green,159.0,66.75325,28.16,-30.72,0.00875,0.05,0.0,10300,2,0.0,0.0,1,-1,,175,179,182,2,2,3,1,4,8,3,0,1,1,0.005714285714285714,0.11428571428571428,0.3333333333333333,0.0,0.0,3,0,1,1,0.008547008547008548,0.17094017094017094,0.3333333333333333,0.0,0.0,Low,Low,2,0.005331456265398958,-0.8718377
12,1,Straight,160,green,97.0,56.51948,28.16,-25.6,0.15,0.49999999999999994,0.0,8000,0,0.0,0.0,0,-1,,151,155,158,2,2,3,1,4,3,3,0,1,7,0.046357615894039736,0.9271523178807947,0.3333333333333333,0.0,0.0,2,0,1,4,0.0380952380952381,0.7619047619047619,0.5,0.0,0.0,High,Medium,2,0.037610398930572435,-0.9094338
13,2,Straight,168,blue,128.0,207.53247,-28.16,25.6,0.15,0.95,0.0,8400,1,1.0,1.0,0,-1,,148,152,155,3,3,1,2,7,8,3,0,2,5,0.033783783783783786,0.6756756756756757,0.6666666666666666,0.0,0.0,2,0,1,4,0.0380952380952381,0.7619047619047619,0.5,0.0,0.0,High,High,3,0.037610398930572435,-0.64750755
14,3,Straight,171,green,97.0,162.96104,-28.16,25.6,0.00875,0.05,0.0,8550,2,1.0,1.0,0,-1,,140,144,147,2,2,3,1,7,4,4,0,0,2,0.014285714285714285,0.2857142857142857,0.0,0.0,0.0,4,0,0,2,0.01904761904761905,0.38095238095238093,0.0,0.0,0.0,Low,Low,2,0.005331456265398958,-0.71234983
15,4,Straight,218,blue,128.0,108.36364,28.16,-30.72,0.00875,0.49999999999999994,0.0,10900,1,0.0,0.0,1,-1,,198,202,205,3,3,1,2,9,16,6,0,4,2,0.010101010101010102,0.20202020202020202,0.6666666666666666,0.0,0.0,6,0,4,1,0.007142857142857143,0.14285714285714285,0.6666666666666666,0.0,0.0,Low,Medium,3,0.005331456265398958,-0.8766241
16,5,Straight,369,red,159.0,236.0,-28.16,30.72,0.15,0.95,0.0,18450,0,1.0,1.0,1,-1,,360,364,367,1,1,2,3,2,7,9,0,8,12,0.03333333333333333,0.6666666666666666,0.8888888888888888,0.0,0.0,6,0,5,8,0.03278688524590164,0.6557377049180327,0.8333333333333334,0.0,0.0,High,High,1,0.037610398930572435,-0.9344444
17,6,Straight,156,blue,159.0,81.24675,-28.16,-25.6,0.15,0.05,0.0,7800,0,1.0,0.0,0,-1,,147,151,154,3,3,1,2,7,10,3,0,0,5,0.034013605442176874,0.6802721088435374,0.0,0.0,0.0,2,0,0,4,0.0380952380952381,0.7619047619047619,0.0,0.0,0.0,High,Low,3,0.037610398930572435,-0.9331297
18,7,Straight,183,green,159.0,58.96104,28.16,-30.72,0.00875,0.49999999999999994,0.0,9150,2,0.0,0.0,1,-1,,152,156,159,2,2,3,1,2,5,4,0,1,1,0.006578947368421052,0.13157894736842105,0.25,0.0,0.0,4,0,1,1,0.009523809523809525,0.19047619047619047,0.25,0.0,0.0,Low,Medium,2,0.005331456265398958,-0.85399604
19,8,Straight,302,red,128.0,185.5065,-28.16,30.72,0.00875,0.95,0.0,15100,1,1.0,1.0,1,-1,,282,286,289,1,1,2,3,9,11,8,0,8,1,0.0035460992907801418,0.07092198581560284,1.0,0.0,0.0,8,0,8,1,0.005128205128205128,0.10256410256410256,1.0,0.0,0.0,Low,High,1,0.005331456265398958,-0.9548812
20,9,Straight,155,red,159.0,164.54546,28.16,25.6,0.15,0.05,0.0,7750,2,0.0,1.0,0,-1,,124,128,131,1,1,2,3,6,8,4,0,0,6,0.04838709677419355,0.967741935483871,0.0,0.0,0.0,4,0,0,6,0.06315789473684211,1.263157894736842,0.0,0.0,0.0,High,Low,1,0.037610398930572435,-0.38575217
21,10,Straight,169,blue,159.0,220.41559,-28.16,30.72,0.15,0.49999999999999994,0.0,8450,0,1.0,1.0,1,-1,,160,164,167,3,3,1,2,5,5,4,0,0,6,0.0375,0.75,0.0,0.0,0.0,2,0,0,3,0.02857142857142857,0.5714285714285714,0.0,0.0,0.0,High,Medium,3,0.037610398930572435,-0.92640626
22,11,Straight,184,green,128.0,48.467533,28.16,-25.6,0.00875,0.95,0.0,9200,1,0.0,0.0,0,-1,,164,168,171,2,2,3,1,7,3,4,0,4,2,0.012195121951219513,0.24390243902439024,1.0,0.0,0.0,2,0,2,2,0.018867924528301886,0.37735849056603776,1.0,0.0,0.0,Low,High,2,0.005331456265398958,-0.85301924
23,12,Straight,180,blue,128.0,76.93507,28.16,-25.6,0.00875,0.05,0.0,9000,1,0.0,0.0,0,-1,,160,164,167,3,3,1,2,8,15,4,0,0,0,0.0,0.0,0.0,0.0,0.0,3,0,0,0,0.0,0.0,0.0,0.0,0.0,Low,Low,3,0.005331456265398958,-1.0
24,13,Straight,236,green,97.0,201.09091,-28.16,30.72,0.15,0.49999999999999994,0.0,11800,2,1.0,1.0,1,-1,,205,209,212,1,1,2,3,8,12,6,0,4,7,0.03414634146341464,0.6829268292682927,0.6666666666666666,0.0,0.0,6,0,4,5,0.034013605442176874,0.6802721088435374,0.6666666666666666,0.0,0.0,High,Medium,2,0.037610398930572435,0.37578762
25,14,Straight,283,red,97.0,144.7013,28.16,25.6,0.15,0.95,0.0,14150,0,0.0,1.0,0,-1,,274,278,281,1,1,2,3,6,1,7,0,5,10,0.0364963503649635,0.7299270072992701,0.7142857142857143,0.0,0.0,5,0,3,8,0.0427807486631016,0.8556149732620321,0.6,0.0,0.0,High,High,1,0.037610398930572435,-0.9283393
